(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	Values[Km NamPRT]	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v
10	100	0	0	1e-07	7.64941e-07	4.06351e-07	0.00469516	0.0826291	100	0.00028	0.0001
10	100	0	0	1.09648e-07	7.64939e-07	4.06351e-07	0.00469515	0.0826293	100	0.00028	0.0001
10	100	0	0	1.20226e-07	7.64937e-07	4.06351e-07	0.00469514	0.0826295	100	0.00028	0.0001
10	100	0	0	1.31826e-07	7.64935e-07	4.06351e-07	0.00469512	0.0826297	100	0.00028	0.0001
10	100	0	0	1.44544e-07	7.64932e-07	4.06352e-07	0.00469511	0.08263	100	0.00028	0.0001
10	100	0	0	1.58489e-07	7.6493e-07	4.06352e-07	0.00469509	0.0826303	100	0.00028	0.0001
10	100	0	0	1.7378e-07	7.64927e-07	4.06352e-07	0.00469507	0.0826306	100	0.00028	0.0001
10	100	0	0	1.90546e-07	7.64924e-07	4.06352e-07	0.00469505	0.0826309	100	0.00028	0.0001
10	100	0	0	2.0893e-07	7.6492e-07	4.06353e-07	0.00469503	0.0826313	100	0.00028	0.0001
10	100	0	0	2.29087e-07	7.64916e-07	4.06353e-07	0.00469501	0.0826317	100	0.00028	0.0001
10	100	0	0	2.51189e-07	7.64912e-07	4.06353e-07	0.00469498	0.0826322	100	0.00028	0.0001
10	100	0	0	2.75423e-07	7.64908e-07	4.06354e-07	0.00469495	0.0826327	100	0.00028	0.0001
10	100	0	0	3.01995e-07	7.64903e-07	4.06354e-07	0.00469492	0.0826332	100	0.00028	0.0001
10	100	0	0	3.31131e-07	7.64897e-07	4.06355e-07	0.00469488	0.0826338	100	0.00028	0.0001
10	100	0	0	3.63078e-07	7.64891e-07	4.06356e-07	0.00469484	0.0826345	100	0.00028	0.0001
10	100	0	0	3.98107e-07	7.64885e-07	4.06356e-07	0.0046948	0.0826352	100	0.00028	0.0001
10	100	0	0	4.36516e-07	7.64878e-07	4.06357e-07	0.00469475	0.082636	100	0.00028	0.0001
10	100	0	0	4.7863e-07	7.6487e-07	4.06358e-07	0.0046947	0.0826369	100	0.00028	0.0001
10	100	0	0	5.24807e-07	7.64861e-07	4.06358e-07	0.00469465	0.0826379	100	0.00028	0.0001
10	100	0	0	5.7544e-07	7.64852e-07	4.06359e-07	0.00469458	0.0826389	100	0.00028	0.0001
10	100	0	0	6.30957e-07	7.64841e-07	4.0636e-07	0.00469452	0.0826401	100	0.00028	0.0001
10	100	0	0	6.91831e-07	7.6483e-07	4.06361e-07	0.00469444	0.0826413	100	0.00028	0.0001
10	100	0	0	7.58578e-07	7.64817e-07	4.06363e-07	0.00469436	0.0826427	100	0.00028	0.0001
10	100	0	0	8.31764e-07	7.64804e-07	4.06364e-07	0.00469427	0.0826442	100	0.00028	0.0001
10	100	0	0	9.12011e-07	7.64789e-07	4.06365e-07	0.00469417	0.0826459	100	0.00028	0.0001
10	100	0	0	1e-06	7.64772e-07	4.06367e-07	0.00469407	0.0826477	100	0.00028	0.0001
10	100	0	0	1.09648e-06	7.64754e-07	4.06369e-07	0.00469395	0.0826497	100	0.00028	0.0001
10	100	0	0	1.20226e-06	7.64735e-07	4.06371e-07	0.00469382	0.0826519	100	0.00028	0.0001
10	100	0	0	1.31826e-06	7.64713e-07	4.06373e-07	0.00469368	0.0826543	100	0.00028	0.0001
10	100	0	0	1.44544e-06	7.64689e-07	4.06375e-07	0.00469352	0.0826569	100	0.00028	0.0001
10	100	0	0	1.58489e-06	7.64663e-07	4.06378e-07	0.00469335	0.0826598	100	0.00028	0.0001
10	100	0	0	1.7378e-06	7.64635e-07	4.0638e-07	0.00469317	0.0826629	100	0.00028	0.0001
10	100	0	0	1.90546e-06	7.64603e-07	4.06383e-07	0.00469296	0.0826664	100	0.00028	0.0001
10	100	0	0	2.0893e-06	7.64569e-07	4.06387e-07	0.00469274	0.0826702	100	0.00028	0.0001
10	100	0	0	2.29087e-06	7.64531e-07	4.0639e-07	0.00469249	0.0826744	100	0.00028	0.0001
10	100	0	0	2.51189e-06	7.6449e-07	4.06394e-07	0.00469222	0.0826789	100	0.00028	0.0001
10	100	0	0	2.75423e-06	7.64445e-07	4.06399e-07	0.00469193	0.0826839	100	0.00028	0.0001
10	100	0	0	3.01995e-06	7.64395e-07	4.06403e-07	0.00469161	0.0826894	100	0.00028	0.0001
10	100	0	0	3.31131e-06	7.64341e-07	4.06409e-07	0.00469125	0.0826954	100	0.00028	0.0001
10	100	0	0	3.63078e-06	7.64281e-07	4.06414e-07	0.00469086	0.082702	100	0.00028	0.0001
10	100	0	0	3.98107e-06	7.64216e-07	4.06421e-07	0.00469044	0.0827093	100	0.00028	0.0001
10	100	0	0	4.36516e-06	7.64145e-07	4.06427e-07	0.00468997	0.0827172	100	0.00028	0.0001
10	100	0	0	4.7863e-06	7.64066e-07	4.06435e-07	0.00468946	0.0827259	100	0.00028	0.0001
10	100	0	0	5.24807e-06	7.6398e-07	4.06443e-07	0.0046889	0.0827354	100	0.00028	0.0001
10	100	0	0	5.7544e-06	7.63886e-07	4.06452e-07	0.00468828	0.0827458	100	0.00028	0.0001
10	100	0	0	6.30957e-06	7.63783e-07	4.06462e-07	0.00468761	0.0827572	100	0.00028	0.0001
10	100	0	0	6.91831e-06	7.6367e-07	4.06473e-07	0.00468687	0.0827698	100	0.00028	0.0001
10	100	0	0	7.58578e-06	7.63546e-07	4.06485e-07	0.00468606	0.0827835	100	0.00028	0.0001
10	100	0	0	8.31764e-06	7.6341e-07	4.06498e-07	0.00468518	0.0827985	100	0.00028	0.0001
10	100	0	0	9.12011e-06	7.63262e-07	4.06512e-07	0.00468421	0.082815	100	0.00028	0.0001
10	100	0	0	1e-05	7.63099e-07	4.06528e-07	0.00468314	0.0828331	100	0.00028	0.0001
10	100	0	0	1.09648e-05	7.6292e-07	4.06545e-07	0.00468198	0.0828529	100	0.00028	0.0001
10	100	0	0	1.20226e-05	7.62725e-07	4.06564e-07	0.0046807	0.0828745	100	0.00028	0.0001
10	100	0	0	1.31826e-05	7.62511e-07	4.06584e-07	0.00467931	0.0828983	100	0.00028	0.0001
10	100	0	0	1.44544e-05	7.62277e-07	4.06607e-07	0.00467778	0.0829242	100	0.00028	0.0001
10	100	0	0	1.58489e-05	7.6202e-07	4.06632e-07	0.0046761	0.0829527	100	0.00028	0.0001
10	100	0	0	1.7378e-05	7.61739e-07	4.06658e-07	0.00467427	0.0829839	100	0.00028	0.0001
10	100	0	0	1.90546e-05	7.61431e-07	4.06688e-07	0.00467226	0.083018	100	0.00028	0.0001
10	100	0	0	2.0893e-05	7.61095e-07	4.0672e-07	0.00467007	0.0830554	100	0.00028	0.0001
10	100	0	0	2.29087e-05	7.60726e-07	4.06755e-07	0.00466766	0.0830962	100	0.00028	0.0001
10	100	0	0	2.51189e-05	7.60323e-07	4.06794e-07	0.00466503	0.083141	100	0.00028	0.0001
10	100	0	0	2.75423e-05	7.59883e-07	4.06836e-07	0.00466216	0.0831899	100	0.00028	0.0001
10	100	0	0	3.01995e-05	7.59401e-07	4.06882e-07	0.00465901	0.0832435	100	0.00028	0.0001
10	100	0	0	3.31131e-05	7.58874e-07	4.06932e-07	0.00465557	0.0833021	100	0.00028	0.0001
10	100	0	0	3.63078e-05	7.58298e-07	4.06987e-07	0.00465182	0.0833661	100	0.00028	0.0001
10	100	0	0	3.98107e-05	7.57668e-07	4.07047e-07	0.00464771	0.0834361	100	0.00028	0.0001
10	100	0	0	4.36516e-05	7.56981e-07	4.07113e-07	0.00464323	0.0835126	100	0.00028	0.0001
10	100	0	0	4.7863e-05	7.5623e-07	4.07184e-07	0.00463833	0.0835962	100	0.00028	0.0001
10	100	0	0	5.24807e-05	7.5541e-07	4.07262e-07	0.00463298	0.0836874	100	0.00028	0.0001
10	100	0	0	5.7544e-05	7.54516e-07	4.07346e-07	0.00462715	0.0837871	100	0.00028	0.0001
10	100	0	0	6.30957e-05	7.53541e-07	4.07438e-07	0.00462079	0.0838958	100	0.00028	0.0001
10	100	0	0	6.91831e-05	7.52478e-07	4.07539e-07	0.00461386	0.0840144	100	0.00028	0.0001
10	100	0	0	7.58578e-05	7.5132e-07	4.07648e-07	0.00460631	0.0841437	100	0.00028	0.0001
10	100	0	0	8.31764e-05	7.50059e-07	4.07766e-07	0.00459808	0.0842847	100	0.00028	0.0001
10	100	0	0	9.12011e-05	7.48686e-07	4.07895e-07	0.00458913	0.0844382	100	0.00028	0.0001
10	100	0	0	0.0001	7.47194e-07	4.08035e-07	0.0045794	0.0846052	100	0.00028	0.0001
10	100	0	0	0.000109648	7.45571e-07	4.08186e-07	0.00456883	0.084787	100	0.00028	0.0001
10	100	0	0	0.000120226	7.4381e-07	4.0835e-07	0.00455735	0.0849846	100	0.00028	0.0001
10	100	0	0	0.000131826	7.41899e-07	4.08527e-07	0.00454489	0.0851993	100	0.00028	0.0001
10	100	0	0	0.000144544	7.39826e-07	4.08719e-07	0.00453139	0.0854323	100	0.00028	0.0001
10	100	0	0	0.000158489	7.37582e-07	4.08925e-07	0.00451677	0.085685	100	0.00028	0.0001
10	100	0	0	0.00017378	7.35154e-07	4.09148e-07	0.00450095	0.0859589	100	0.00028	0.0001
10	100	0	0	0.000190546	7.32529e-07	4.09387e-07	0.00448386	0.0862553	100	0.00028	0.0001
10	100	0	0	0.00020893	7.29696e-07	4.09645e-07	0.00446541	0.0865759	100	0.00028	0.0001
10	100	0	0	0.000229087	7.2664e-07	4.09921e-07	0.00444552	0.0869223	100	0.00028	0.0001
10	100	0	0	0.000251189	7.2335e-07	4.10217e-07	0.00442411	0.087296	100	0.00028	0.0001
10	100	0	0	0.000275423	7.19811e-07	4.10533e-07	0.00440108	0.0876988	100	0.00028	0.0001
10	100	0	0	0.000301995	7.1601e-07	4.1087e-07	0.00437636	0.0881323	100	0.00028	0.0001
10	100	0	0	0.000331131	7.11935e-07	4.11229e-07	0.00434986	0.0885983	100	0.00028	0.0001
10	100	0	0	0.000363078	7.07571e-07	4.11611e-07	0.0043215	0.0890985	100	0.00028	0.0001
10	100	0	0	0.000398107	7.02907e-07	4.12016e-07	0.0042912	0.0896346	100	0.00028	0.0001
10	100	0	0	0.000436516	6.9793e-07	4.12444e-07	0.00425888	0.0902083	100	0.00028	0.0001
10	100	0	0	0.00047863	6.92628e-07	4.12896e-07	0.00422447	0.0908212	100	0.00028	0.0001
10	100	0	0	0.000524807	6.86992e-07	4.13372e-07	0.00418791	0.0914749	100	0.00028	0.0001
10	100	0	0	0.00057544	6.81011e-07	4.13872e-07	0.00414913	0.092171	100	0.00028	0.0001
10	100	0	0	0.000630957	6.74676e-07	4.14396e-07	0.00410808	0.0929107	100	0.00028	0.0001
10	100	0	0	0.000691831	6.6798e-07	4.14943e-07	0.00406472	0.0936955	100	0.00028	0.0001
10	100	0	0	0.000758578	6.60917e-07	4.15514e-07	0.00401902	0.0945264	100	0.00028	0.0001
10	100	0	0	0.000831764	6.53482e-07	4.16106e-07	0.00397095	0.0954044	100	0.00028	0.0001
10	100	0	0	0.000912011	6.45674e-07	4.1672e-07	0.00392051	0.0963304	100	0.00028	0.0001
10	100	0	0	0.001	6.3749e-07	4.17355e-07	0.0038677	0.0973049	100	0.00028	0.0001
