(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	Values[Km NamPRT]	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v	Values[scaling]	Compartments[Host].InitialVolume	Compartments[Pathogen].InitialVolume
100	100	0	10	1e-07	7.64262e-07	3.63759e-07	0.00373727	0.00166627	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.09648e-07	7.63837e-07	3.63766e-07	0.00373493	0.0016663	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.20226e-07	7.63372e-07	3.63774e-07	0.00373236	0.00166634	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.31826e-07	7.62863e-07	3.63782e-07	0.00372955	0.00166638	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.44544e-07	7.62306e-07	3.63792e-07	0.00372648	0.00166643	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.58489e-07	7.61697e-07	3.63802e-07	0.00372312	0.00166648	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.7378e-07	7.61032e-07	3.63813e-07	0.00371945	0.00166653	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.90546e-07	7.60304e-07	3.63825e-07	0.00371544	0.00166659	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.0893e-07	7.5951e-07	3.63838e-07	0.00371106	0.00166666	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.29087e-07	7.58641e-07	3.63853e-07	0.00370628	0.00166673	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.51189e-07	7.57693e-07	3.63869e-07	0.00370105	0.0016668	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	2.75423e-07	7.56659e-07	3.63886e-07	0.00369536	0.00166689	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.01995e-07	7.5553e-07	3.63905e-07	0.00368914	0.00166698	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.31131e-07	7.54299e-07	3.63925e-07	0.00368237	0.00166708	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.63078e-07	7.52957e-07	3.63948e-07	0.00367499	0.00166719	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	3.98107e-07	7.51495e-07	3.63972e-07	0.00366695	0.0016673	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.36516e-07	7.49903e-07	3.63999e-07	0.0036582	0.00166743	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	4.7863e-07	7.48171e-07	3.64028e-07	0.00364869	0.00166757	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.24807e-07	7.46288e-07	3.64059e-07	0.00363835	0.00166772	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	5.7544e-07	7.44241e-07	3.64093e-07	0.00362713	0.00166789	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.30957e-07	7.4202e-07	3.6413e-07	0.00361495	0.00166807	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	6.91831e-07	7.39609e-07	3.6417e-07	0.00360175	0.00166826	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	7.58578e-07	7.36997e-07	3.64213e-07	0.00358746	0.00166847	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	8.31764e-07	7.34169e-07	3.6426e-07	0.003572	0.0016687	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	9.12011e-07	7.3111e-07	3.64311e-07	0.00355529	0.00166895	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1e-06	7.27805e-07	3.64366e-07	0.00353726	0.00166921	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.09648e-06	7.24239e-07	3.64424e-07	0.00351782	0.0016695	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.20226e-06	7.20395e-07	3.64488e-07	0.0034969	0.0016698	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.31826e-06	7.16259e-07	3.64556e-07	0.00347442	0.00167014	100	2.8e-05	1e-05	0.001	0.001	0.001
100	100	0	10	1.44544e-06	7.11814e-07	3.64629e-07	0.00345029	0.00167049	100	2.8e-05	1e-05	0.001	0.001	0.001
