(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v
100	100	0	0	7.61357e-07	6.54175e-07	0.00381669	40.7138	100	2.7e-06	0.0001
100	100	0	0	7.61336e-07	6.54192e-07	0.00381631	38.8603	100	2.82828e-06	0.0001
100	100	0	0	7.61315e-07	6.54209e-07	0.00381592	37.091	100	2.96265e-06	0.0001
100	100	0	0	7.61292e-07	6.54227e-07	0.00381552	35.4018	100	3.1034e-06	0.0001
100	100	0	0	7.61269e-07	6.54245e-07	0.0038151	33.7893	100	3.25084e-06	0.0001
100	100	0	0	7.61245e-07	6.54263e-07	0.00381466	32.25	100	3.40529e-06	0.0001
100	100	0	0	7.61219e-07	6.54282e-07	0.00381422	30.7805	100	3.56707e-06	0.0001
100	100	0	0	7.61193e-07	6.543e-07	0.00381375	29.3776	100	3.73654e-06	0.0001
100	100	0	0	7.61166e-07	6.54318e-07	0.00381328	28.0384	100	3.91406e-06	0.0001
100	100	0	0	7.61138e-07	6.54337e-07	0.00381278	26.76	100	4.10001e-06	0.0001
100	100	0	0	7.61109e-07	6.54355e-07	0.00381228	25.5395	100	4.2948e-06	0.0001
100	100	0	0	7.61079e-07	6.54373e-07	0.00381175	24.3744	100	4.49885e-06	0.0001
100	100	0	0	7.61048e-07	6.5439e-07	0.00381122	23.2622	100	4.71258e-06	0.0001
100	100	0	0	7.61016e-07	6.54408e-07	0.00381066	22.2005	100	4.93648e-06	0.0001
100	100	0	0	7.60983e-07	6.54425e-07	0.00381009	21.1869	100	5.17101e-06	0.0001
100	100	0	0	7.60948e-07	6.54441e-07	0.00380951	20.2193	100	5.41668e-06	0.0001
100	100	0	0	7.60913e-07	6.54456e-07	0.00380891	19.2956	100	5.67402e-06	0.0001
100	100	0	0	7.60876e-07	6.54471e-07	0.0038083	18.4138	100	5.94359e-06	0.0001
100	100	0	0	7.60838e-07	6.54485e-07	0.00380767	17.5721	100	6.22597e-06	0.0001
100	100	0	0	7.60799e-07	6.54498e-07	0.00380702	16.7685	100	6.52176e-06	0.0001
100	100	0	0	7.60759e-07	6.54509e-07	0.00380636	16.0014	100	6.8316e-06	0.0001
100	100	0	0	7.60718e-07	6.54519e-07	0.00380569	15.2691	100	7.15617e-06	0.0001
100	100	0	0	7.60675e-07	6.54527e-07	0.003805	14.57	100	7.49615e-06	0.0001
100	100	0	0	7.60632e-07	6.54534e-07	0.0038043	13.9027	100	7.85229e-06	0.0001
100	100	0	0	7.60587e-07	6.54539e-07	0.00380359	13.2657	100	8.22535e-06	0.0001
100	100	0	0	7.60541e-07	6.54541e-07	0.00380286	12.6575	100	8.61613e-06	0.0001
100	100	0	0	7.60494e-07	6.54541e-07	0.00380212	12.077	100	9.02548e-06	0.0001
100	100	0	0	7.60445e-07	6.54539e-07	0.00380137	11.5228	100	9.45427e-06	0.0001
100	100	0	0	7.60396e-07	6.54533e-07	0.00380061	10.9938	100	9.90344e-06	0.0001
100	100	0	0	7.60345e-07	6.54524e-07	0.00379983	10.4888	100	1.03739e-05	0.0001
100	100	0	0	7.60294e-07	6.54512e-07	0.00379905	10.0067	100	1.08668e-05	0.0001
100	100	0	0	7.60241e-07	6.54496e-07	0.00379826	9.54647	100	1.13831e-05	0.0001
100	100	0	0	7.60187e-07	6.54477e-07	0.00379746	9.10715	100	1.19239e-05	0.0001
100	100	0	0	7.60132e-07	6.54452e-07	0.00379665	8.68778	100	1.24904e-05	0.0001
100	100	0	0	7.60076e-07	6.54423e-07	0.00379583	8.28745	100	1.30838e-05	0.0001
