(NADA[1]).ET	(NAMPT[0]).ET	(NAMPT[1]).ET	(NNMT[0]).ET	(SIRT[0]).Flux	(SIRT[1]).Flux	[NAD{Host}]	[NAD{Pathogen}]	Values[Nam transporter].InitialValue	Values[cell devision all].InitialValue	(Nam uptake).v
100	100	0	10	6.18162e-07	3.75992e-08	0.00295024	0.00172569	100	2.7e-06	0.0001
100	100	0	10	6.18148e-07	3.7595e-08	0.00295017	0.00172548	100	2.82828e-06	0.0001
100	100	0	10	6.18135e-07	3.75905e-08	0.0029501	0.00172527	100	2.96265e-06	0.0001
100	100	0	10	6.1812e-07	3.75859e-08	0.00295003	0.00172504	100	3.1034e-06	0.0001
100	100	0	10	6.18105e-07	3.7581e-08	0.00294995	0.0017248	100	3.25084e-06	0.0001
100	100	0	10	6.18089e-07	3.75759e-08	0.00294986	0.00172456	100	3.40529e-06	0.0001
100	100	0	10	6.18073e-07	3.75706e-08	0.00294977	0.0017243	100	3.56707e-06	0.0001
100	100	0	10	6.18055e-07	3.7565e-08	0.00294968	0.00172402	100	3.73654e-06	0.0001
100	100	0	10	6.18037e-07	3.75591e-08	0.00294959	0.00172374	100	3.91406e-06	0.0001
100	100	0	10	6.18018e-07	3.7553e-08	0.00294949	0.00172344	100	4.10001e-06	0.0001
100	100	0	10	6.17998e-07	3.75465e-08	0.00294938	0.00172313	100	4.2948e-06	0.0001
100	100	0	10	6.17977e-07	3.75398e-08	0.00294927	0.0017228	100	4.49885e-06	0.0001
100	100	0	10	6.17955e-07	3.75327e-08	0.00294915	0.00172245	100	4.71258e-06	0.0001
100	100	0	10	6.17932e-07	3.75253e-08	0.00294903	0.0017221	100	4.93648e-06	0.0001
100	100	0	10	6.17908e-07	3.75176e-08	0.00294891	0.00172172	100	5.17101e-06	0.0001
100	100	0	10	6.17883e-07	3.75095e-08	0.00294877	0.00172132	100	5.41668e-06	0.0001
100	100	0	10	6.17857e-07	3.7501e-08	0.00294863	0.00172091	100	5.67402e-06	0.0001
100	100	0	10	6.17829e-07	3.74921e-08	0.00294849	0.00172048	100	5.94359e-06	0.0001
100	100	0	10	6.178e-07	3.74828e-08	0.00294833	0.00172002	100	6.22597e-06	0.0001
100	100	0	10	6.1777e-07	3.7473e-08	0.00294817	0.00171955	100	6.52176e-06	0.0001
100	100	0	10	6.17738e-07	3.74628e-08	0.00294801	0.00171905	100	6.8316e-06	0.0001
100	100	0	10	6.17704e-07	3.74521e-08	0.00294783	0.00171853	100	7.15617e-06	0.0001
