(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	0	100	5e-06	0.4	2.7e-06	2.38263	1.22013e-05	0.0001	32.491	2.16109	10	10	0.001
10	0	100	5e-06	0.4	2.82828e-06	2.38141	1.28642e-05	0.0001	30.8136	2.15998	10	10	0.001
10	0	100	5e-06	0.4	2.96265e-06	2.38012	1.35678e-05	0.0001	29.2124	2.15881	10	10	0.001
10	0	100	5e-06	0.4	3.1034e-06	2.37876	1.4315e-05	0.0001	27.6841	2.15758	10	10	0.001
10	0	100	5e-06	0.4	3.25084e-06	2.37732	1.51093e-05	0.0001	26.2254	2.15627	10	10	0.001
10	0	100	5e-06	0.4	3.40529e-06	2.37581	1.59543e-05	0.0001	24.8331	2.1549	10	10	0.001
10	0	100	5e-06	0.4	3.56707e-06	2.37421	1.68538e-05	0.0001	23.5043	2.15345	10	10	0.001
10	0	100	5e-06	0.4	3.73654e-06	2.37252	1.78124e-05	0.0001	22.236	2.15192	10	10	0.001
10	0	100	5e-06	0.4	3.91406e-06	2.37073	1.88347e-05	0.0001	21.0256	2.1503	10	10	0.001
10	0	100	5e-06	0.4	4.10001e-06	2.36884	1.99262e-05	0.0001	19.8705	2.14858	10	10	0.001
10	0	100	5e-06	0.4	4.2948e-06	2.36684	2.10926e-05	0.0001	18.7681	2.14677	10	10	0.001
10	0	100	5e-06	0.4	4.49885e-06	2.36472	2.23407e-05	0.0001	17.7161	2.14485	10	10	0.001
10	0	100	5e-06	0.4	4.71258e-06	2.36248	2.36775e-05	0.0001	16.7122	2.14281	10	10	0.001
10	0	100	5e-06	0.4	4.93648e-06	2.36009	2.51113e-05	0.0001	15.7544	2.14064	10	10	0.001
10	0	100	5e-06	0.4	5.17101e-06	2.35756	2.66512e-05	0.0001	14.8404	2.13835	10	10	0.001
