(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	0	0	5e-06	0.4	2.7e-06	1.426223	0.00035661709999999997	1e-05	0.845231	1.35874	10	10	0.001
10	0	0	5e-06	0.4	2.82828e-06	1.3919658000000001	0.00040793279999999996	1e-05	0.743399	1.3273	10	10	0.001
10	0	0	5e-06	0.4	2.96265e-06	1.3549568	0.0004648852	1e-05	0.654456	1.29335	10	10	0.001
10	0	0	5e-06	0.4	3.1034e-06	1.3155766	0.0005272248	1e-05	0.57735	1.25723	10	10	0.001
10	0	0	5e-06	0.4	3.25084e-06	1.2742859	0.0005945299999999999	1e-05	0.510873	1.21936	10	10	0.001
10	0	0	5e-06	0.4	3.40529e-06	1.2315856	0.0006662549	1e-05	0.453749	1.1802	10	10	0.001
10	0	0	5e-06	0.4	3.56707e-06	1.1879861	0.000741787	1e-05	0.40472	1.1402	10	10	0.001
10	0	0	5e-06	0.4	3.73654e-06	1.1439484	0.000820497	1e-05	0.362608	1.09978	10	10	0.001
10	0	0	5e-06	0.4	3.91406e-06	1.099873	0.0009017769999999999	1e-05	0.326358	1.05931	10	10	0.001
10	0	0	5e-06	0.4	4.10001e-06	1.0561307	0.0009850529999999998	1e-05	0.29505	1.01911	10	10	0.001
10	0	0	5e-06	0.4	4.2948e-06	1.0129722	0.0010698090000000001	1e-05	0.2679	0.979437	10	10	0.001
10	0	0	5e-06	0.4	4.49885e-06	0.9706481	0.001155589	1e-05	0.244249	0.940483	10	10	0.001
10	0	0	5e-06	0.4	4.71258e-06	0.9293041000000001	0.0012419750000000002	1e-05	0.223548	0.902402	10	10	0.001
10	0	0	5e-06	0.4	4.93648e-06	0.8890778	0.0013286020000000001	1e-05	0.205342	0.865309	10	10	0.001
10	0	0	5e-06	0.4	5.17101e-06	0.8500557	0.001415142	1e-05	0.189254	0.829284	10	10	0.001
10	0	0	5e-06	0.4	5.41668e-06	0.8122984999999999	0.001501301	1e-05	0.174972	0.794381	10	10	0.001
10	0	0	5e-06	0.4	5.67402e-06	0.7758417	0.001586833	1e-05	0.162239	0.760633	10	10	0.001
10	0	0	5e-06	0.4	5.94359e-06	0.7407045	0.001671493	1e-05	0.150839	0.728057	10	10	0.001
10	0	0	5e-06	0.4	6.22597e-06	0.7068914000000001	0.0017550670000000001	1e-05	0.140591	0.696655	10	10	0.001
10	0	0	5e-06	0.4	6.52176e-06	0.6743956	0.0018373699999999998	1e-05	0.131346	0.666422	10	10	0.001
10	0	0	5e-06	0.4	6.8316e-06	0.6432012	0.0019182319999999997	1e-05	0.122976	0.637344	10	10	0.001
10	0	0	5e-06	0.4	7.15617e-06	0.6132863000000001	0.0019974899999999998	1e-05	0.115374	0.6094	10	10	0.001
10	0	0	5e-06	0.4	7.49615e-06	0.5846238	0.002075003	1e-05	0.108448	0.582566	10	10	0.001
10	0	0	5e-06	0.4	7.85229e-06	0.5571824999999999	0.0021506420000000004	1e-05	0.10212	0.556814	10	10	0.001
10	0	0	5e-06	0.4	8.22535e-06	0.5309289	0.00222428	1e-05	0.0963225	0.532113	10	10	0.001
10	0	0	5e-06	0.4	8.61613e-06	0.5058285	0.00229583	1e-05	0.0909986	0.508434	10	10	0.001
10	0	0	5e-06	0.4	9.02548e-06	0.48184259999999995	0.0023651870000000004	1e-05	0.0860975	0.485741	10	10	0.001
10	0	0	5e-06	0.4	9.45427e-06	0.45893519999999993	0.002432269	1e-05	0.0815758	0.464004	10	10	0.001
10	0	0	5e-06	0.4	9.90344e-06	0.4370682	0.002497004	1e-05	0.0773953	0.443187	10	10	0.001
10	0	0	5e-06	0.4	1.03739e-05	0.4162033	0.0025593440000000003	1e-05	0.0735225	0.423259	10	10	0.001
10	0	0	5e-06	0.4	1.08668e-05	0.3963029	0.002619212	1e-05	0.0699281	0.404185	10	10	0.001
10	0	0	5e-06	0.4	1.13831e-05	0.37732920000000003	0.0026765919999999998	1e-05	0.066586	0.385934	10	10	0.001
10	0	0	5e-06	0.4	1.19239e-05	0.3592452	0.002731433	1e-05	0.0634732	0.368474	10	10	0.001
10	0	0	5e-06	0.4	1.24904e-05	0.3420148	0.002783722	1e-05	0.0605693	0.351774	10	10	0.001
10	0	0	5e-06	0.4	1.30838e-05	0.32560160000000005	0.002833443	1e-05	0.0578558	0.335803	10	10	0.001
10	0	0	5e-06	0.4	1.37054e-05	0.3099711	0.002880587	1e-05	0.0553164	0.320532	10	10	0.001
10	0	0	5e-06	0.4	1.43565e-05	0.2950894	0.002925149	1e-05	0.0529364	0.305933	10	10	0.001
10	0	0	5e-06	0.4	1.50386e-05	0.2809219	0.002967147	1e-05	0.0507025	0.291978	10	10	0.001
10	0	0	5e-06	0.4	1.57531e-05	0.2674384	0.003006577	1e-05	0.0486029	0.27864	10	10	0.001
10	0	0	5e-06	0.4	1.65015e-05	0.25460499999999997	0.003043479	1e-05	0.0466266	0.265893	10	10	0.001
10	0	0	5e-06	0.4	1.72855e-05	0.24239370000000002	0.003077851	1e-05	0.044764	0.253713	10	10	0.001
10	0	0	5e-06	0.4	1.81067e-05	0.2307733	0.003109733	1e-05	0.043006	0.242076	10	10	0.001
10	0	0	5e-06	0.4	1.89669e-05	0.2197159	0.003139154	1e-05	0.0413447	0.230959	10	10	0.001
10	0	0	5e-06	0.4	1.98681e-05	0.2091944	0.003166133	1e-05	0.0397725	0.22034	10	10	0.001
10	0	0	5e-06	0.4	2.0812e-05	0.19918219999999998	0.003190728	1e-05	0.0382828	0.210196	10	10	0.001
10	0	0	5e-06	0.4	2.18007e-05	0.1896545	0.003212946	1e-05	0.0368694	0.200509	10	10	0.001
10	0	0	5e-06	0.4	2.28365e-05	0.18058680000000002	0.003232822	1e-05	0.0355266	0.191258	10	10	0.001
10	0	0	5e-06	0.4	2.39214e-05	0.17195580000000002	0.0032504099999999996	1e-05	0.0342492	0.182425	10	10	0.001
10	0	0	5e-06	0.4	2.50579e-05	0.1637395	0.00326572	1e-05	0.0330325	0.17399	10	10	0.001
10	0	0	5e-06	0.4	2.62484e-05	0.1559181	0.0032788030000000003	1e-05	0.0318721	0.165938	10	10	0.001
10	0	0	5e-06	0.4	2.74955e-05	0.1484701	0.0032896640000000003	1e-05	0.030764	0.158251	10	10	0.001
10	0	0	5e-06	0.4	2.88017e-05	0.14137809999999998	0.003298347	1e-05	0.0297044	0.150914	10	10	0.001
10	0	0	5e-06	0.4	3.01701e-05	0.134623	0.003304866	1e-05	0.02869	0.14391	10	10	0.001
10	0	0	5e-06	0.4	3.16035e-05	0.1281893	0.003309238	1e-05	0.0277177	0.137227	10	10	0.001
10	0	0	5e-06	0.4	3.31049e-05	0.1220592	0.003311502	1e-05	0.0267845	0.130848	10	10	0.001
10	0	0	5e-06	0.4	3.46777e-05	0.11621949999999999	0.0033116509999999997	1e-05	0.0258878	0.124762	10	10	0.001
10	0	0	5e-06	0.4	3.63252e-05	0.11065409999999999	0.003309719	1e-05	0.0250252	0.118955	10	10	0.001
10	0	0	5e-06	0.4	3.8051e-05	0.10535009999999999	0.003305705	1e-05	0.0241944	0.113415	10	10	0.001
10	0	0	5e-06	0.4	3.98588e-05	0.10029579999999999	0.0032996300000000004	1e-05	0.0233935	0.10813	10	10	0.001
10	0	0	5e-06	0.4	4.17525e-05	0.09547749999999999	0.003291489	1e-05	0.0226205	0.103088	10	10	0.001
10	0	0	5e-06	0.4	4.37361e-05	0.09088489999999999	0.003281309	1e-05	0.0218736	0.0982795	10	10	0.001
10	0	0	5e-06	0.4	4.5814e-05	0.0865076	0.003269085	1e-05	0.0211515	0.0936934	10	10	0.001
10	0	0	5e-06	0.4	4.79906e-05	0.082334	0.0032548209999999998	1e-05	0.0204525	0.0893198	10	10	0.001
10	0	0	5e-06	0.4	5.02706e-05	0.0783553	0.003238538	1e-05	0.0197754	0.0851492	10	10	0.001
10	0	0	5e-06	0.4	5.26589e-05	0.0745622	0.0032202199999999998	1e-05	0.0191191	0.0811726	10	10	0.001
10	0	0	5e-06	0.4	5.51607e-05	0.070946	0.003199908	1e-05	0.0184824	0.0773811	10	10	0.001
10	0	0	5e-06	0.4	5.77814e-05	0.06749839999999999	0.0031775840000000002	1e-05	0.0178645	0.0737664	10	10	0.001
10	0	0	5e-06	0.4	6.05266e-05	0.0642117	0.0031532580000000004	1e-05	0.0172643	0.0703205	10	10	0.001
10	0	0	5e-06	0.4	6.34021e-05	0.061078299999999995	0.003126961	1e-05	0.0166813	0.0670358	10	10	0.001
10	0	0	5e-06	0.4	6.64143e-05	0.05809109999999999	0.0030987040000000003	1e-05	0.0161146	0.0639048	10	10	0.001
10	0	0	5e-06	0.4	6.95696e-05	0.0552434	0.003068498	1e-05	0.0155636	0.0609205	10	10	0.001
10	0	0	5e-06	0.4	7.28749e-05	0.0525287	0.003036364	1e-05	0.0150278	0.0580763	10	10	0.001
10	0	0	5e-06	0.4	7.63371e-05	0.0499408	0.003002332	1e-05	0.0145067	0.0553657	10	10	0.001
10	0	0	5e-06	0.4	7.99638e-05	0.047474	0.002966425	1e-05	0.0139999	0.0527825	10	10	0.001
10	0	0	5e-06	0.4	8.37629e-05	0.045122499999999996	0.002928693	1e-05	0.0135069	0.0503207	10	10	0.001
10	0	0	5e-06	0.4	8.77424e-05	0.0428811	0.0028891480000000002	1e-05	0.0130274	0.0479749	10	10	0.001
10	0	0	5e-06	0.4	9.1911e-05	0.04074463	0.002847842	1e-05	0.0125612	0.0457395	10	10	0.001
10	0	0	5e-06	0.4	9.62776e-05	0.03870812999999999	0.002804828	1e-05	0.0121078	0.0436094	10	10	0.001
10	0	0	5e-06	0.4	0.000100852	0.036767060000000004	0.002760147	1e-05	0.0116672	0.0415797	10	10	0.001
10	0	0	5e-06	0.4	0.000105643	0.03491685	0.002713863	1e-05	0.0112389	0.0396456	10	10	0.001
10	0	0	5e-06	0.4	0.000110662	0.03315343	0.0026660290000000003	1e-05	0.010823	0.0378027	10	10	0.001
10	0	0	5e-06	0.4	0.00011592	0.03147257	0.002616717	1e-05	0.010419	0.0360466	10	10	0.001
10	0	0	5e-06	0.4	0.000121427	0.029870439999999998	0.0025659930000000004	1e-05	0.0100269	0.0343733	10	10	0.001
10	0	0	5e-06	0.4	0.000127196	0.02834335	0.0025139389999999998	1e-05	0.00964651	0.0327787	10	10	0.001
10	0	0	5e-06	0.4	0.000133239	0.0268877	0.00246062	1e-05	0.0092776	0.0312592	10	10	0.001
10	0	0	5e-06	0.4	0.000139569	0.02550025	0.002406121	1e-05	0.00892001	0.0298112	10	10	0.001
10	0	0	5e-06	0.4	0.0001462	0.02417774	0.0023505360000000003	1e-05	0.00857358	0.0284313	10	10	0.001
10	0	0	5e-06	0.4	0.000153146	0.02291699	0.00229394	1e-05	0.00823812	0.0271163	10	10	0.001
10	0	0	5e-06	0.4	0.000160422	0.02171526	0.00223645	1e-05	0.00791348	0.025863	10	10	0.001
10	0	0	5e-06	0.4	0.000168043	0.02056953	0.002178129	1e-05	0.00759945	0.0246684	10	10	0.001
10	0	0	5e-06	0.4	0.000176027	0.01947734	0.002119095	1e-05	0.00729587	0.0235299	10	10	0.001
10	0	0	5e-06	0.4	0.00018439	0.01843609	0.0020594330000000003	1e-05	0.00700253	0.0224447	10	10	0.001
10	0	0	5e-06	0.4	0.00019315	0.01744339	0.001999239	1e-05	0.00671924	0.0214103	10	10	0.001
10	0	0	5e-06	0.4	0.000202326	0.01649689	0.0019386300000000002	1e-05	0.00644579	0.0204242	10	10	0.001
10	0	0	5e-06	0.4	0.000211939	0.01559447	0.0018776820000000003	1e-05	0.00618198	0.0194842	10	10	0.001
10	0	0	5e-06	0.4	0.000222008	0.01473396	0.001816513	1e-05	0.0059276	0.018588	10	10	0.001
10	0	0	5e-06	0.4	0.000232555	0.013913370000000001	0.0017551990000000003	1e-05	0.00568243	0.0177336	10	10	0.001
10	0	0	5e-06	0.4	0.000243604	0.013130909999999999	0.0016938480000000002	1e-05	0.00544624	0.016919	10	10	0.001
10	0	0	5e-06	0.4	0.000255177	0.012384759999999998	0.0016325559999999999	1e-05	0.00521881	0.0161422	10	10	0.001
10	0	0	5e-06	0.4	0.000267301	0.011673099999999999	0.001571412	1e-05	0.00499991	0.0154015	10	10	0.001
10	0	0	5e-06	0.4	0.00028	0.010994490000000003	0.0015104930000000001	1e-05	0.00478932	0.0146952	10	10	0.001

10	0	0	5e-06	0.4	2.7e-06	1.4571326	0.00031122109999999996	1.04713e-05	0.960067	1.38712	10	10	0.001
10	0	0	5e-06	0.4	2.82828e-06	1.4258481	0.0003568835	1.04713e-05	0.844616	1.35839	10	10	0.001
10	0	0	5e-06	0.4	2.96265e-06	1.3915711	0.000408225	1.04713e-05	0.742869	1.32694	10	10	0.001
10	0	0	5e-06	0.4	3.1034e-06	1.3545521999999999	0.00046520119999999995	1.04713e-05	0.654003	1.29298	10	10	0.001
