(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	-0.00012048199999999999	-2.74268e-05	1e-05	4.93839e-05	0.000129707	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00011496800000000001	-2.61636e-05	1.04713e-05	5.17116e-05	0.000135818	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00010909499999999997	-2.48189e-05	1.09648e-05	5.4149e-05	0.000142217	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00010284799999999997	-2.3389900000000005e-05	1.14815e-05	5.67013e-05	0.000148917	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-9.6212e-05	-2.18732e-05	1.20226e-05	5.9374e-05	0.000155933	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-8.917400000000002e-05	-2.0265600000000005e-05	1.25893e-05	6.21726e-05	0.000163279	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-8.171500000000003e-05	-1.85637e-05	1.31826e-05	6.51032e-05	0.000170971	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-7.3819e-05	-1.6763500000000003e-05	1.38038e-05	6.81719e-05	0.000179025	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-6.547000000000001e-05	-1.4861599999999993e-05	1.44544e-05	7.13854e-05	0.000187459	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-5.6649000000000006e-05	-1.2853700000000002e-05	1.51356e-05	7.47503e-05	0.00019629	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-4.733499999999999e-05	-1.0735700000000006e-05	1.58489e-05	7.82738e-05	0.000205536	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-3.750899999999997e-05	-8.503099999999997e-06	1.65959e-05	8.19635e-05	0.000215218	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-2.7148999999999967e-05	-6.151599999999997e-06	1.7378e-05	8.58272e-05	0.000225356	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-1.6231000000000015e-05	-3.6760000000000034e-06	1.8197e-05	8.9873e-05	0.000235971	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-4.733999999999999e-06	-1.0716000000000051e-06	1.90546e-05	9.41096e-05	0.000247086	10	0.001
10	10	0	5e-06	0.4	2.7e-06	7.369000000000017e-06	1.667100000000003e-06	1.99526e-05	9.85459e-05	0.000258724	10	0.001
10	10	0	5e-06	0.4	2.7e-06	2.0102000000000032e-05	4.545499999999999e-06	2.0893e-05	0.000103191	0.00027091	10	0.001
10	10	0	5e-06	0.4	2.7e-06	3.349499999999998e-05	7.569299999999989e-06	2.18776e-05	0.000108056	0.000283669	10	0.001
10	10	0	5e-06	0.4	2.7e-06	4.757600000000002e-05	1.0744600000000006e-05	2.29087e-05	0.00011315	0.000297029	10	0.001
10	10	0	5e-06	0.4	2.7e-06	6.237300000000001e-05	1.4077599999999995e-05	2.39883e-05	0.000118484	0.000311018	10	0.001
10	10	0	5e-06	0.4	2.7e-06	7.792000000000004e-05	1.75749e-05	2.51189e-05	0.00012407	0.000325665	10	0.001
10	10	0	5e-06	0.4	2.7e-06	9.424899999999997e-05	2.1243300000000007e-05	2.63027e-05	0.000129919	0.000341002	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.00011139500000000003	2.5089800000000005e-05	2.75423e-05	0.000136044	0.00035706	10	0.001
10	10	0	5e-06	0.4	2.7e-06	0.00012939500000000003	2.9121900000000003e-05	2.88403e-05	0.000142458	0.000373873	10	0.001
