(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	-0.001474289	-0.0003219689	1e-05	4.93859e-05	7.93524e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0014804897	-0.000323156	1.04713e-05	5.17137e-05	8.30794e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0014862181000000001	-0.0003242383	1.09648e-05	5.41512e-05	8.69808e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001491455	-0.00032521290000000005	1.14815e-05	5.67037e-05	9.10648e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001496202	-0.0003260807	1.20226e-05	5.93764e-05	9.53398e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001500448	-0.00032683749999999997	1.25893e-05	6.21752e-05	9.98146e-05	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001504194	-0.0003274841	1.31826e-05	6.51059e-05	0.000104499	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0015074280000000001	-0.0003280181	1.38038e-05	6.81748e-05	0.000109401	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00151015	-0.000328438	1.44544e-05	7.13883e-05	0.000114533	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0015123380000000002	-0.0003287422	1.51356e-05	7.47534e-05	0.000119904	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001513999	-0.000328929	1.58489e-05	7.82771e-05	0.000125526	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001515122	-0.0003289967	1.65959e-05	8.19669e-05	0.00013141	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0015156920000000001	-0.0003289443	1.7378e-05	8.58307e-05	0.000137568	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001515696	-0.0003287677	1.8197e-05	8.98767e-05	0.000144014	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001515149	-0.0003284669	1.90546e-05	9.41135e-05	0.000150759	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001514016	-0.0003280393	1.99526e-05	9.855e-05	0.000157818	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001512301	-0.00032748170000000004	2.0893e-05	0.000103196	0.000165205	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0015099870000000002	-0.00032679249999999996	2.18776e-05	0.00010806	0.000172936	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0015070580000000001	-0.0003259687	2.29087e-05	0.000113155	0.000181025	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001503514	-0.0003250077	2.39883e-05	0.000118489	0.000189491	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001499338	-0.0003239073	2.51189e-05	0.000124075	0.000198348	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001494509	-0.00032266230000000003	2.63027e-05	0.000129924	0.000207617	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001489007	-0.00032127230000000004	2.75423e-05	0.00013605	0.000217314	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001482841	-0.00031973179999999997	2.88403e-05	0.000142464	0.00022746	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001475977	-0.000318038	3.01995e-05	0.00014918	0.000238075	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001468392	-0.00031618710000000003	3.16228e-05	0.000156214	0.000249181	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001460083	-0.0003141758	3.31131e-05	0.000163579	0.000260799	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0014510130000000001	-0.0003119978	3.46737e-05	0.000171291	0.000272952	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001441176	-0.0003096508	3.63078e-05	0.000179368	0.000285665	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001430534	-0.0003071289	3.80189e-05	0.000187825	0.000298963	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.0014190890000000001	-0.0003044273	3.98107e-05	0.000196681	0.000312872	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00140679	-0.0003015407	4.16869e-05	0.000205955	0.000327419	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001393615	-0.00029846500000000004	4.36516e-05	0.000215667	0.000342633	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.001379553	-0.0002951934	4.57088e-05	0.000225837	0.000358543	10	200	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.00136457	-0.0002917202	4.7863e-05	0.000236487	0.00037518	10	200	0.001
