(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	0	100	5e-06	0.4	1e-05	0.494448	0.0032592	1e-05	0.0565096	0.44853	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.517663	0.00318972	1.04713e-05	0.059344	0.469587	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.541934	0.00311795	1.09648e-05	0.0623819	0.491604	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.567308	0.00304395	1.14815e-05	0.0656427	0.51462	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.59383	0.00296778	1.20226e-05	0.069148	0.538677	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.621547	0.00288951	1.25893e-05	0.0729222	0.56382	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.650509	0.00280922	1.31826e-05	0.076993	0.59009	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.680765	0.002727	1.38038e-05	0.0813915	0.617534	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.712364	0.00264294	1.44544e-05	0.0861535	0.646197	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.745359	0.00255714	1.51356e-05	0.0913196	0.676126	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.7798	0.0024697	1.58489e-05	0.0969367	0.707366	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.815739	0.00238074	1.65959e-05	0.103058	0.739964	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.853225	0.00229038	1.7378e-05	0.109748	0.773966	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.892308	0.00219874	1.8197e-05	0.117077	0.809416	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.933034	0.00210598	1.90546e-05	0.125131	0.846357	10	10	0.001
10	0	100	5e-06	0.4	1e-05	0.975446	0.00201222	1.99526e-05	0.134011	0.884826	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.01958	0.00191764	2.0893e-05	0.143835	0.924858	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.06547	0.00182239	2.18776e-05	0.154744	0.966481	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.11314	0.00172666	2.29087e-05	0.166907	1.00971	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.16258	0.00163065	2.39883e-05	0.180528	1.05456	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.2138	0.00153456	2.51189e-05	0.195852	1.10102	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.26677	0.00143863	2.63027e-05	0.213179	1.14906	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.32142	0.00134312	2.75423e-05	0.232876	1.19863	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.37765	0.00124833	2.88403e-05	0.255392	1.24963	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.43532	0.00115459	3.01995e-05	0.281281	1.30193	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.49422	0.00106228	3.16228e-05	0.311228	1.35536	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.55407	0.000971835	3.31131e-05	0.346073	1.40964	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.6145	0.000883765	3.46737e-05	0.386846	1.46444	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.67502	0.000798638	3.63078e-05	0.43479	1.51933	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.73504	0.000717089	3.80189e-05	0.491384	1.57377	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.79387	0.000639798	3.98107e-05	0.558327	1.62713	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.85072	0.000567457	4.16869e-05	0.637494	1.67868	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.90477	0.000500703	4.36516e-05	0.730831	1.72771	10	10	0.001
10	0	100	5e-06	0.4	1e-05	1.95528	0.000440041	4.57088e-05	0.8402	1.77351	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.00162	0.000385765	4.7863e-05	0.967202	1.81554	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.04342	0.000337908	5.01187e-05	1.11303	1.85345	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.08056	0.000296234	5.24807e-05	1.27838	1.88713	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.11315	0.000260288	5.49541e-05	1.46353	1.91669	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.14152	0.000229476	5.7544e-05	1.66841	1.94241	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.16607	0.000203143	6.0256e-05	1.89276	1.96468	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.18729	0.000180643	6.30957e-05	2.13626	1.98393	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.20563	0.000161383	6.60693e-05	2.39864	2.00056	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.22151	0.00014484	6.91831e-05	2.67972	2.01496	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.2353	0.000130567	7.24436e-05	2.97945	2.02747	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.24734	0.000118193	7.58578e-05	3.2979	2.03839	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.25789	0.000107408	7.94328e-05	3.63529	2.04795	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.26717	9.79589e-05	8.31764e-05	3.99193	2.05637	10	10	0.001
10	0	100	5e-06	0.4	1e-05	2.27538	8.96379e-05	8.70964e-05	4.36827	2.06381	10	10	0.001
