(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	10	100	5e-06	0.4	2.7e-06	0.0034915	0.00071409	0.0001	0.000494342	0.00317044	10	10	0.001
0	10	100	5e-06	0.4	2.82725e-06	0.00349149	0.000714089	0.0001	0.000494337	0.00317044	10	10	0.001
0	10	100	5e-06	0.4	2.96049e-06	0.00349149	0.000714088	0.0001	0.000494333	0.00317043	10	10	0.001
0	10	100	5e-06	0.4	3.10001e-06	0.00349148	0.000714087	0.0001	0.000494328	0.00317042	10	10	0.001
0	10	100	5e-06	0.4	3.24611e-06	0.00349147	0.000714086	0.0001	0.000494323	0.00317042	10	10	0.001
0	10	100	5e-06	0.4	3.3991e-06	0.00349147	0.000714085	0.0001	0.000494317	0.00317041	10	10	0.001
0	10	100	5e-06	0.4	3.55929e-06	0.00349146	0.000714084	0.0001	0.000494311	0.00317041	10	10	0.001
0	10	100	5e-06	0.4	3.72704e-06	0.00349145	0.000714083	0.0001	0.000494305	0.0031704	10	10	0.001
0	10	100	5e-06	0.4	3.90269e-06	0.00349144	0.000714081	0.0001	0.000494299	0.00317039	10	10	0.001
0	10	100	5e-06	0.4	4.08662e-06	0.00349144	0.00071408	0.0001	0.000494293	0.00317039	10	10	0.001
0	10	100	5e-06	0.4	4.27921e-06	0.00349143	0.000714079	0.0001	0.000494286	0.00317038	10	10	0.001
0	10	100	5e-06	0.4	4.48088e-06	0.00349142	0.000714077	0.0001	0.000494279	0.00317037	10	10	0.001
0	10	100	5e-06	0.4	4.69206e-06	0.00349141	0.000714075	0.0001	0.000494271	0.00317036	10	10	0.001
0	10	100	5e-06	0.4	4.91319e-06	0.0034914	0.000714074	0.0001	0.000494263	0.00317035	10	10	0.001
0	10	100	5e-06	0.4	5.14474e-06	0.00349139	0.000714072	0.0001	0.000494255	0.00317034	10	10	0.001
0	10	100	5e-06	0.4	5.38721e-06	0.00349138	0.00071407	0.0001	0.000494247	0.00317033	10	10	0.001
0	10	100	5e-06	0.4	5.6411e-06	0.00349137	0.000714068	0.0001	0.000494238	0.00317032	10	10	0.001
0	10	100	5e-06	0.4	5.90696e-06	0.00349136	0.000714066	0.0001	0.000494228	0.00317031	10	10	0.001
0	10	100	5e-06	0.4	6.18534e-06	0.00349135	0.000714064	0.0001	0.000494218	0.0031703	10	10	0.001
0	10	100	5e-06	0.4	6.47685e-06	0.00349133	0.000714062	0.0001	0.000494208	0.00317029	10	10	0.001
0	10	100	5e-06	0.4	6.78209e-06	0.00349132	0.00071406	0.0001	0.000494197	0.00317028	10	10	0.001
0	10	100	5e-06	0.4	7.10172e-06	0.00349131	0.000714057	0.0001	0.000494186	0.00317027	10	10	0.001
0	10	100	5e-06	0.4	7.43642e-06	0.00349129	0.000714055	0.0001	0.000494174	0.00317025	10	10	0.001
0	10	100	5e-06	0.4	7.78689e-06	0.00349128	0.000714052	0.0001	0.000494162	0.00317024	10	10	0.001
0	10	100	5e-06	0.4	8.15387e-06	0.00349126	0.00071405	0.0001	0.000494149	0.00317023	10	10	0.001
0	10	100	5e-06	0.4	8.53815e-06	0.00349124	0.000714047	0.0001	0.000494135	0.00317021	10	10	0.001
0	10	100	5e-06	0.4	8.94054e-06	0.00349123	0.000714044	0.0001	0.000494121	0.00317019	10	10	0.001
0	10	100	5e-06	0.4	9.36189e-06	0.00349121	0.000714041	0.0001	0.000494106	0.00317018	10	10	0.001
0	10	100	5e-06	0.4	9.80311e-06	0.00349119	0.000714037	0.0001	0.00049409	0.00317016	10	10	0.001
0	10	100	5e-06	0.4	1.02651e-05	0.00349117	0.000714034	0.0001	0.000494074	0.00317014	10	10	0.001
0	10	100	5e-06	0.4	1.07489e-05	0.00349115	0.00071403	0.0001	0.000494057	0.00317012	10	10	0.001
0	10	100	5e-06	0.4	1.12555e-05	0.00349113	0.000714026	0.0001	0.000494039	0.0031701	10	10	0.001
0	10	100	5e-06	0.4	1.17859e-05	0.0034911	0.000714022	0.0001	0.00049402	0.00317008	10	10	0.001
0	10	100	5e-06	0.4	1.23414e-05	0.00349108	0.000714018	0.0001	0.000494	0.00317006	10	10	0.001
0	10	100	5e-06	0.4	1.2923e-05	0.00349105	0.000714014	0.0001	0.00049398	0.00317004	10	10	0.001
0	10	100	5e-06	0.4	1.35321e-05	0.00349103	0.000714009	0.0001	0.000493958	0.00317001	10	10	0.001
0	10	100	5e-06	0.4	1.41698e-05	0.003491	0.000714005	0.0001	0.000493935	0.00316999	10	10	0.001
0	10	100	5e-06	0.4	1.48376e-05	0.00349097	0.000714	0.0001	0.000493912	0.00316996	10	10	0.001
0	10	100	5e-06	0.4	1.55369e-05	0.00349094	0.000713994	0.0001	0.000493887	0.00316994	10	10	0.001
0	10	100	5e-06	0.4	1.62691e-05	0.00349091	0.000713989	0.0001	0.000493861	0.00316991	10	10	0.001
0	10	100	5e-06	0.4	1.70358e-05	0.00349088	0.000713983	0.0001	0.000493834	0.00316988	10	10	0.001
0	10	100	5e-06	0.4	1.78387e-05	0.00349084	0.000713977	0.0001	0.000493805	0.00316985	10	10	0.001
0	10	100	5e-06	0.4	1.86794e-05	0.00349081	0.000713971	0.0001	0.000493776	0.00316981	10	10	0.001
0	10	100	5e-06	0.4	1.95598e-05	0.00349077	0.000713964	0.0001	0.000493745	0.00316978	10	10	0.001
0	10	100	5e-06	0.4	2.04816e-05	0.00349073	0.000713957	0.0001	0.000493712	0.00316974	10	10	0.001
0	10	100	5e-06	0.4	2.14469e-05	0.00349069	0.00071395	0.0001	0.000493678	0.0031697	10	10	0.001
0	10	100	5e-06	0.4	2.24576e-05	0.00349064	0.000713943	0.0001	0.000493642	0.00316966	10	10	0.001
0	10	100	5e-06	0.4	2.3516e-05	0.0034906	0.000713935	0.0001	0.000493604	0.00316962	10	10	0.001
0	10	100	5e-06	0.4	2.46243e-05	0.00349055	0.000713926	0.0001	0.000493565	0.00316958	10	10	0.001
0	10	100	5e-06	0.4	2.57848e-05	0.0034905	0.000713918	0.0001	0.000493524	0.00316953	10	10	0.001
0	10	100	5e-06	0.4	2.7e-05	0.00349045	0.000713909	0.0001	0.000493481	0.00316949	10	10	0.001
0	10	100	5e-06	0.4	2.82725e-05	0.00349039	0.000713899	0.0001	0.000493436	0.00316944	10	10	0.001
0	10	100	5e-06	0.4	2.96049e-05	0.00349033	0.000713889	0.0001	0.000493389	0.00316938	10	10	0.001
0	10	100	5e-06	0.4	3.10001e-05	0.00349027	0.000713879	0.0001	0.000493339	0.00316933	10	10	0.001
0	10	100	5e-06	0.4	3.24611e-05	0.00349021	0.000713868	0.0001	0.000493288	0.00316927	10	10	0.001
0	10	100	5e-06	0.4	3.3991e-05	0.00349014	0.000713856	0.0001	0.000493233	0.00316921	10	10	0.001
0	10	100	5e-06	0.4	3.55929e-05	0.00349007	0.000713844	0.0001	0.000493177	0.00316915	10	10	0.001
0	10	100	5e-06	0.4	3.72704e-05	0.00349	0.000713832	0.0001	0.000493117	0.00316908	10	10	0.001
0	10	100	5e-06	0.4	3.90269e-05	0.00348992	0.000713819	0.0001	0.000493055	0.00316901	10	10	0.001
0	10	100	5e-06	0.4	4.08662e-05	0.00348985	0.000713805	0.0001	0.00049299	0.00316894	10	10	0.001
0	10	100	5e-06	0.4	4.27921e-05	0.00348976	0.00071379	0.0001	0.000492922	0.00316887	10	10	0.001
0	10	100	5e-06	0.4	4.48088e-05	0.00348967	0.000713775	0.0001	0.00049285	0.00316879	10	10	0.001
0	10	100	5e-06	0.4	4.69206e-05	0.00348958	0.00071376	0.0001	0.000492776	0.0031687	10	10	0.001
0	10	100	5e-06	0.4	4.91319e-05	0.00348949	0.000713743	0.0001	0.000492698	0.00316862	10	10	0.001
0	10	100	5e-06	0.4	5.14474e-05	0.00348939	0.000713726	0.0001	0.000492616	0.00316853	10	10	0.001
0	10	100	5e-06	0.4	5.38721e-05	0.00348928	0.000713708	0.0001	0.00049253	0.00316843	10	10	0.001
0	10	100	5e-06	0.4	5.6411e-05	0.00348917	0.000713689	0.0001	0.00049244	0.00316833	10	10	0.001
0	10	100	5e-06	0.4	5.90696e-05	0.00348906	0.000713669	0.0001	0.000492346	0.00316823	10	10	0.001
0	10	100	5e-06	0.4	6.18534e-05	0.00348894	0.000713648	0.0001	0.000492247	0.00316812	10	10	0.001
0	10	100	5e-06	0.4	6.47685e-05	0.00348881	0.000713626	0.0001	0.000492144	0.003168	10	10	0.001
0	10	100	5e-06	0.4	6.78209e-05	0.00348868	0.000713603	0.0001	0.000492036	0.00316788	10	10	0.001
0	10	100	5e-06	0.4	7.10172e-05	0.00348854	0.000713579	0.0001	0.000491923	0.00316776	10	10	0.001
0	10	100	5e-06	0.4	7.43642e-05	0.0034884	0.000713554	0.0001	0.000491805	0.00316763	10	10	0.001
0	10	100	5e-06	0.4	7.78689e-05	0.00348824	0.000713528	0.0001	0.000491681	0.00316749	10	10	0.001
0	10	100	5e-06	0.4	8.15387e-05	0.00348809	0.000713501	0.0001	0.000491551	0.00316734	10	10	0.001
0	10	100	5e-06	0.4	8.53815e-05	0.00348792	0.000713472	0.0001	0.000491415	0.00316719	10	10	0.001
0	10	100	5e-06	0.4	8.94054e-05	0.00348775	0.000713442	0.0001	0.000491273	0.00316704	10	10	0.001
0	10	100	5e-06	0.4	9.36189e-05	0.00348756	0.00071341	0.0001	0.000491124	0.00316687	10	10	0.001
0	10	100	5e-06	0.4	9.80311e-05	0.00348737	0.000713377	0.0001	0.000490968	0.0031667	10	10	0.001
0	10	100	5e-06	0.4	0.000102651	0.00348717	0.000713343	0.0001	0.000490805	0.00316652	10	10	0.001
0	10	100	5e-06	0.4	0.000107489	0.00348696	0.000713307	0.0001	0.000490634	0.00316633	10	10	0.001
0	10	100	5e-06	0.4	0.000112555	0.00348675	0.000713269	0.0001	0.000490455	0.00316613	10	10	0.001
0	10	100	5e-06	0.4	0.000117859	0.00348652	0.000713229	0.0001	0.000490268	0.00316592	10	10	0.001
0	10	100	5e-06	0.4	0.000123414	0.00348628	0.000713188	0.0001	0.000490072	0.0031657	10	10	0.001
0	10	100	5e-06	0.4	0.00012923	0.00348602	0.000713144	0.0001	0.000489867	0.00316547	10	10	0.001
0	10	100	5e-06	0.4	0.000135321	0.00348576	0.000713099	0.0001	0.000489652	0.00316523	10	10	0.001
0	10	100	5e-06	0.4	0.000141698	0.00348549	0.000713051	0.0001	0.000489427	0.00316498	10	10	0.001
0	10	100	5e-06	0.4	0.000148376	0.0034852	0.000713001	0.0001	0.000489191	0.00316472	10	10	0.001
0	10	100	5e-06	0.4	0.000155369	0.00348489	0.000712949	0.0001	0.000488945	0.00316445	10	10	0.001
0	10	100	5e-06	0.4	0.000162691	0.00348458	0.000712894	0.0001	0.000488686	0.00316416	10	10	0.001
0	10	100	5e-06	0.4	0.000170358	0.00348425	0.000712837	0.0001	0.000488416	0.00316386	10	10	0.001
0	10	100	5e-06	0.4	0.000178387	0.0034839	0.000712777	0.0001	0.000488133	0.00316355	10	10	0.001
0	10	100	5e-06	0.4	0.000186794	0.00348354	0.000712714	0.0001	0.000487837	0.00316322	10	10	0.001
0	10	100	5e-06	0.4	0.000195598	0.00348316	0.000712648	0.0001	0.000487527	0.00316287	10	10	0.001
0	10	100	5e-06	0.4	0.000204816	0.00348276	0.000712579	0.0001	0.000487202	0.00316251	10	10	0.001
0	10	100	5e-06	0.4	0.000214469	0.00348234	0.000712507	0.0001	0.000486863	0.00316213	10	10	0.001
0	10	100	5e-06	0.4	0.000224576	0.00348191	0.000712431	0.0001	0.000486507	0.00316173	10	10	0.001
0	10	100	5e-06	0.4	0.00023516	0.00348145	0.000712352	0.0001	0.000486135	0.00316132	10	10	0.001
0	10	100	5e-06	0.4	0.000246243	0.00348097	0.000712269	0.0001	0.000485745	0.00316089	10	10	0.001
0	10	100	5e-06	0.4	0.000257848	0.00348047	0.000712183	0.0001	0.000485337	0.00316043	10	10	0.001
0	10	100	5e-06	0.4	0.00027	0.00347994	0.000712092	0.0001	0.00048491	0.00315995	10	10	0.001
