(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	400	5e-06	0.4	1e-05	0.00950359	0.00165238	1e-05	4.84902e-05	0.00863212	10	0.001
0	10	400	5e-06	0.4	1e-05	0.00965222	0.00167171	1.04713e-05	5.08039e-05	0.00876715	10	0.001
0	10	400	5e-06	0.4	1e-05	0.00980096	0.00169089	1.09648e-05	5.32274e-05	0.00890228	10	0.001
0	10	400	5e-06	0.4	1e-05	0.00994975	0.00170993	1.14815e-05	5.57659e-05	0.00903746	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0100985	0.00172882	1.20226e-05	5.84246e-05	0.0091726	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0102471	0.00174754	1.25893e-05	6.12093e-05	0.00930763	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0103956	0.00176609	1.31826e-05	6.41261e-05	0.00944249	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0105437	0.00178446	1.38038e-05	6.7181e-05	0.0095771	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0106916	0.00180264	1.44544e-05	7.03806e-05	0.00971139	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0108389	0.00182062	1.51356e-05	7.37318e-05	0.00984529	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0109858	0.00183841	1.58489e-05	7.72416e-05	0.00997871	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0111321	0.00185598	1.65959e-05	8.09177e-05	0.0101116	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0112776	0.00187334	1.7378e-05	8.47678e-05	0.0102439	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0114225	0.00189047	1.8197e-05	8.88001e-05	0.0103754	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0115664	0.00190737	1.90546e-05	9.30233e-05	0.0105063	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0117095	0.00192404	1.99526e-05	9.74463e-05	0.0106362	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0118516	0.00194046	2.0893e-05	0.000102079	0.0107653	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0119926	0.00195663	2.18776e-05	0.00010693	0.0108934	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0121325	0.00197255	2.29087e-05	0.000112011	0.0110205	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0122711	0.00198822	2.39883e-05	0.000117332	0.0111465	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0124084	0.00200362	2.51189e-05	0.000122906	0.0112713	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0125444	0.00201875	2.63027e-05	0.000128742	0.0113948	10	0.001
0	10	400	5e-06	0.4	1e-05	0.012679	0.00203361	2.75423e-05	0.000134855	0.0115171	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0128121	0.00204819	2.88403e-05	0.000141256	0.011638	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0129436	0.0020625	3.01995e-05	0.00014796	0.0117575	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0130735	0.00207653	3.16228e-05	0.000154982	0.0118755	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0132018	0.00209027	3.31131e-05	0.000162335	0.011992	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0133283	0.00210373	3.46737e-05	0.000170035	0.012107	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0134531	0.0021169	3.63078e-05	0.0001781	0.0122204	10	0.001
0	10	400	5e-06	0.4	1e-05	0.013576	0.00212978	3.80189e-05	0.000186546	0.0123321	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0136971	0.00214236	3.98107e-05	0.00019539	0.0124421	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0138163	0.00215466	4.16869e-05	0.000204653	0.0125504	10	0.001
0	10	400	5e-06	0.4	1e-05	0.0139336	0.00216667	4.36516e-05	0.000214354	0.012657	10	0.001
