(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	5e-06	0.4	2.7e-06	0.0246229	4.98226e-06	0.0001	36.9901	0.0223401	10	0.001
0	0	100	5e-06	0.4	2.82828e-06	0.0246145	5.21791e-06	0.0001	35.3103	0.0223325	10	0.001
0	0	100	5e-06	0.4	2.96265e-06	0.0246057	5.46466e-06	0.0001	33.7067	0.0223245	10	0.001
0	0	100	5e-06	0.4	3.1034e-06	0.0245965	5.72301e-06	0.0001	32.1758	0.0223161	10	0.001
0	0	100	5e-06	0.4	3.25084e-06	0.0245868	5.99351e-06	0.0001	30.7144	0.0223074	10	0.001
0	0	100	5e-06	0.4	3.40529e-06	0.0245767	6.27673e-06	0.0001	29.3192	0.0222982	10	0.001
0	0	100	5e-06	0.4	3.56707e-06	0.0245662	6.57326e-06	0.0001	27.9873	0.0222886	10	0.001
0	0	100	5e-06	0.4	3.73654e-06	0.0245551	6.88371e-06	0.0001	26.7159	0.0222786	10	0.001
0	0	100	5e-06	0.4	3.91406e-06	0.0245435	7.20874e-06	0.0001	25.5021	0.022268	10	0.001
0	0	100	5e-06	0.4	4.10001e-06	0.0245313	7.549e-06	0.0001	24.3434	0.022257	10	0.001
0	0	100	5e-06	0.4	4.2948e-06	0.0245186	7.90522e-06	0.0001	23.2372	0.0222455	10	0.001
0	0	100	5e-06	0.4	4.49885e-06	0.0245053	8.27813e-06	0.0001	22.1812	0.0222334	10	0.001
0	0	100	5e-06	0.4	4.71258e-06	0.0244914	8.66849e-06	0.0001	21.173	0.0222208	10	0.001
0	0	100	5e-06	0.4	4.93648e-06	0.0244768	9.07711e-06	0.0001	20.2107	0.0222076	10	0.001
0	0	100	5e-06	0.4	5.17101e-06	0.0244616	9.50483e-06	0.0001	19.2919	0.0221937	10	0.001
0	0	100	5e-06	0.4	5.41668e-06	0.0244456	9.95254e-06	0.0001	18.4149	0.0221792	10	0.001
0	0	100	5e-06	0.4	5.67402e-06	0.0244289	1.04211e-05	0.0001	17.5776	0.0221641	10	0.001
0	0	100	5e-06	0.4	5.94359e-06	0.0244114	1.09116e-05	0.0001	16.7783	0.0221482	10	0.001
0	0	100	5e-06	0.4	6.22597e-06	0.0243931	1.14249e-05	0.0001	16.0152	0.0221316	10	0.001
0	0	100	5e-06	0.4	6.52176e-06	0.024374	1.1962e-05	0.0001	15.2868	0.0221143	10	0.001
0	0	100	5e-06	0.4	6.8316e-06	0.0243539	1.25242e-05	0.0001	14.5914	0.0220961	10	0.001
0	0	100	5e-06	0.4	7.15617e-06	0.024333	1.31125e-05	0.0001	13.9275	0.0220771	10	0.001
0	0	100	5e-06	0.4	7.49615e-06	0.024311	1.3728e-05	0.0001	13.2938	0.0220572	10	0.001
0	0	100	5e-06	0.4	7.85229e-06	0.0242881	1.43721e-05	0.0001	12.6888	0.0220364	10	0.001
0	0	100	5e-06	0.4	8.22535e-06	0.0242641	1.5046e-05	0.0001	12.1112	0.0220146	10	0.001
0	0	100	5e-06	0.4	8.61613e-06	0.024239	1.5751e-05	0.0001	11.5599	0.0219918	10	0.001
0	0	100	5e-06	0.4	9.02548e-06	0.0242127	1.64886e-05	0.0001	11.0335	0.021968	10	0.001
0	0	100	5e-06	0.4	9.45427e-06	0.0241853	1.72602e-05	0.0001	10.5311	0.0219431	10	0.001
0	0	100	5e-06	0.4	9.90344e-06	0.0241565	1.80673e-05	0.0001	10.0514	0.021917	10	0.001
0	0	100	5e-06	0.4	1.03739e-05	0.0241265	1.89114e-05	0.0001	9.59349	0.0218898	10	0.001
0	0	100	5e-06	0.4	1.08668e-05	0.0240951	1.97943e-05	0.0001	9.15635	0.0218613	10	0.001
0	0	100	5e-06	0.4	1.13831e-05	0.0240622	2.07177e-05	0.0001	8.73905	0.0218315	10	0.001
0	0	100	5e-06	0.4	1.19239e-05	0.0240279	2.16832e-05	0.0001	8.34067	0.0218003	10	0.001
0	0	100	5e-06	0.4	1.24904e-05	0.023992	2.26928e-05	0.0001	7.96037	0.0217678	10	0.001
0	0	100	5e-06	0.4	1.30838e-05	0.0239545	2.37483e-05	0.0001	7.59733	0.0217337	10	0.001
0	0	100	5e-06	0.4	1.37054e-05	0.0239153	2.48518e-05	0.0001	7.25076	0.0216982	10	0.001
0	0	100	5e-06	0.4	1.43565e-05	0.0238743	2.60053e-05	0.0001	6.91991	0.021661	10	0.001
0	0	100	5e-06	0.4	1.50386e-05	0.0238315	2.7211e-05	0.0001	6.60408	0.0216222	10	0.001
0	0	100	5e-06	0.4	1.57531e-05	0.0237868	2.84711e-05	0.0001	6.30257	0.0215816	10	0.001
0	0	100	5e-06	0.4	1.65015e-05	0.02374	2.97878e-05	0.0001	6.01475	0.0215392	10	0.001
0	0	100	5e-06	0.4	1.72855e-05	0.0236912	3.11636e-05	0.0001	5.73999	0.0214949	10	0.001
0	0	100	5e-06	0.4	1.81067e-05	0.0236402	3.26009e-05	0.0001	5.4777	0.0214487	10	0.001
0	0	100	5e-06	0.4	1.89669e-05	0.023587	3.41024e-05	0.0001	5.22732	0.0214004	10	0.001
0	0	100	5e-06	0.4	1.98681e-05	0.0235314	3.56705e-05	0.0001	4.9883	0.0213499	10	0.001
0	0	100	5e-06	0.4	2.0812e-05	0.0234734	3.73082e-05	0.0001	4.76013	0.0212973	10	0.001
0	0	100	5e-06	0.4	2.18007e-05	0.0234129	3.9018e-05	0.0001	4.54232	0.0212424	10	0.001
0	0	100	5e-06	0.4	2.28365e-05	0.0233497	4.08031e-05	0.0001	4.3344	0.0211851	10	0.001
0	0	100	5e-06	0.4	2.39214e-05	0.0232837	4.26663e-05	0.0001	4.13592	0.0211253	10	0.001
0	0	100	5e-06	0.4	2.50579e-05	0.023215	4.46107e-05	0.0001	3.94645	0.0210629	10	0.001
0	0	100	5e-06	0.4	2.62484e-05	0.0231433	4.66395e-05	0.0001	3.76559	0.0209978	10	0.001
0	0	100	5e-06	0.4	2.74955e-05	0.0230685	4.87559e-05	0.0001	3.59294	0.02093	10	0.001
0	0	100	5e-06	0.4	2.88017e-05	0.0229905	5.09633e-05	0.0001	3.42814	0.0208593	10	0.001
0	0	100	5e-06	0.4	3.01701e-05	0.0229093	5.32649e-05	0.0001	3.27082	0.0207856	10	0.001
0	0	100	5e-06	0.4	3.16035e-05	0.0228247	5.56644e-05	0.0001	3.12065	0.0207088	10	0.001
0	0	100	5e-06	0.4	3.31049e-05	0.0227365	5.81652e-05	0.0001	2.97731	0.0206288	10	0.001
0	0	100	5e-06	0.4	3.46777e-05	0.0226447	6.0771e-05	0.0001	2.84048	0.0205456	10	0.001
