(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	400	5e-06	0.4	2.7e-06	0.0157084	0.00233483	0.0001	0.00049403	0.0142695	10	0.001
0	10	400	5e-06	0.4	2.82828e-06	0.0157083	0.00233482	0.0001	0.000494011	0.0142694	10	0.001
0	10	400	5e-06	0.4	2.96265e-06	0.0157082	0.00233482	0.0001	0.00049399	0.0142694	10	0.001
0	10	400	5e-06	0.4	3.1034e-06	0.0157081	0.00233481	0.0001	0.000493969	0.0142693	10	0.001
0	10	400	5e-06	0.4	3.25084e-06	0.015708	0.0023348	0.0001	0.000493947	0.0142692	10	0.001
0	10	400	5e-06	0.4	3.40529e-06	0.0157078	0.00233479	0.0001	0.000493924	0.0142691	10	0.001
0	10	400	5e-06	0.4	3.56707e-06	0.0157077	0.00233478	0.0001	0.000493899	0.0142689	10	0.001
0	10	400	5e-06	0.4	3.73654e-06	0.0157076	0.00233476	0.0001	0.000493874	0.0142688	10	0.001
0	10	400	5e-06	0.4	3.91406e-06	0.0157075	0.00233475	0.0001	0.000493847	0.0142687	10	0.001
0	10	400	5e-06	0.4	4.10001e-06	0.0157073	0.00233474	0.0001	0.000493819	0.0142686	10	0.001
0	10	400	5e-06	0.4	4.2948e-06	0.0157072	0.00233473	0.0001	0.000493789	0.0142684	10	0.001
0	10	400	5e-06	0.4	4.49885e-06	0.015707	0.00233471	0.0001	0.000493759	0.0142683	10	0.001
0	10	400	5e-06	0.4	4.71258e-06	0.0157069	0.0023347	0.0001	0.000493726	0.0142682	10	0.001
0	10	400	5e-06	0.4	4.93648e-06	0.0157067	0.00233469	0.0001	0.000493693	0.014268	10	0.001
0	10	400	5e-06	0.4	5.17101e-06	0.0157065	0.00233467	0.0001	0.000493657	0.0142679	10	0.001
0	10	400	5e-06	0.4	5.41668e-06	0.0157063	0.00233465	0.0001	0.00049362	0.0142677	10	0.001
0	10	400	5e-06	0.4	5.67402e-06	0.0157061	0.00233464	0.0001	0.000493581	0.0142675	10	0.001
0	10	400	5e-06	0.4	5.94359e-06	0.0157059	0.00233462	0.0001	0.000493541	0.0142673	10	0.001
0	10	400	5e-06	0.4	6.22597e-06	0.0157057	0.0023346	0.0001	0.000493498	0.0142671	10	0.001
0	10	400	5e-06	0.4	6.52176e-06	0.0157055	0.00233458	0.0001	0.000493453	0.0142669	10	0.001
0	10	400	5e-06	0.4	6.8316e-06	0.0157053	0.00233456	0.0001	0.000493407	0.0142667	10	0.001
0	10	400	5e-06	0.4	7.15617e-06	0.015705	0.00233454	0.0001	0.000493358	0.0142665	10	0.001
0	10	400	5e-06	0.4	7.49615e-06	0.0157048	0.00233452	0.0001	0.000493307	0.0142663	10	0.001
0	10	400	5e-06	0.4	7.85229e-06	0.0157045	0.00233449	0.0001	0.000493253	0.014266	10	0.001
0	10	400	5e-06	0.4	8.22535e-06	0.0157042	0.00233447	0.0001	0.000493197	0.0142658	10	0.001
0	10	400	5e-06	0.4	8.61613e-06	0.0157039	0.00233444	0.0001	0.000493138	0.0142655	10	0.001
0	10	400	5e-06	0.4	9.02548e-06	0.0157036	0.00233441	0.0001	0.000493076	0.0142652	10	0.001
0	10	400	5e-06	0.4	9.45427e-06	0.0157033	0.00233439	0.0001	0.000493011	0.0142649	10	0.001
0	10	400	5e-06	0.4	9.90344e-06	0.015703	0.00233436	0.0001	0.000492943	0.0142646	10	0.001
0	10	400	5e-06	0.4	1.03739e-05	0.0157026	0.00233432	0.0001	0.000492873	0.0142643	10	0.001
0	10	400	5e-06	0.4	1.08668e-05	0.0157023	0.00233429	0.0001	0.000492798	0.014264	10	0.001
0	10	400	5e-06	0.4	1.13831e-05	0.0157019	0.00233426	0.0001	0.00049272	0.0142636	10	0.001
0	10	400	5e-06	0.4	1.19239e-05	0.0157015	0.00233422	0.0001	0.000492639	0.0142633	10	0.001
0	10	400	5e-06	0.4	1.24904e-05	0.015701	0.00233418	0.0001	0.000492553	0.0142629	10	0.001
0	10	400	5e-06	0.4	1.30838e-05	0.0157006	0.00233414	0.0001	0.000492464	0.0142625	10	0.001
0	10	400	5e-06	0.4	1.37054e-05	0.0157001	0.0023341	0.0001	0.00049237	0.014262	10	0.001
0	10	400	5e-06	0.4	1.43565e-05	0.0156996	0.00233406	0.0001	0.000492272	0.0142616	10	0.001
0	10	400	5e-06	0.4	1.50386e-05	0.0156991	0.00233401	0.0001	0.000492169	0.0142611	10	0.001
0	10	400	5e-06	0.4	1.57531e-05	0.0156986	0.00233397	0.0001	0.000492062	0.0142606	10	0.001
0	10	400	5e-06	0.4	1.65015e-05	0.015698	0.00233392	0.0001	0.000491949	0.0142601	10	0.001
0	10	400	5e-06	0.4	1.72855e-05	0.0156974	0.00233386	0.0001	0.000491831	0.0142596	10	0.001
0	10	400	5e-06	0.4	1.81067e-05	0.0156968	0.00233381	0.0001	0.000491707	0.014259	10	0.001
0	10	400	5e-06	0.4	1.89669e-05	0.0156962	0.00233375	0.0001	0.000491577	0.0142585	10	0.001
0	10	400	5e-06	0.4	1.98681e-05	0.0156955	0.00233369	0.0001	0.000491442	0.0142578	10	0.001
