(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	0	100	0.0001	0.4	2.7e-06	0.0231257	4.79486e-05	1e-05	3.65957	0.0209819	10	0.001
0	0	100	0.0001	0.4	2.82828e-06	0.0230501	5.0123e-05	1e-05	3.49174	0.0209133	10	0.001
0	0	100	0.0001	0.4	2.96265e-06	0.0229714	5.23906e-05	1e-05	3.33153	0.0208419	10	0.001
0	0	100	0.0001	0.4	3.1034e-06	0.0228893	5.4755e-05	1e-05	3.17859	0.0207674	10	0.001
0	0	100	0.0001	0.4	3.25084e-06	0.0228038	5.72198e-05	1e-05	3.03261	0.0206899	10	0.001
0	0	100	0.0001	0.4	3.40529e-06	0.0227147	5.97884e-05	1e-05	2.89327	0.0206091	10	0.001
0	0	100	0.0001	0.4	3.56707e-06	0.022622	6.24646e-05	1e-05	2.76025	0.0205249	10	0.001
0	0	100	0.0001	0.4	3.73654e-06	0.0225254	6.52521e-05	1e-05	2.63329	0.0204373	10	0.001
0	0	100	0.0001	0.4	3.91406e-06	0.022425	6.81547e-05	1e-05	2.5121	0.0203462	10	0.001
0	0	100	0.0001	0.4	4.10001e-06	0.0223204	7.11763e-05	1e-05	2.39642	0.0202514	10	0.001
0	0	100	0.0001	0.4	4.2948e-06	0.0222117	7.43206e-05	1e-05	2.28601	0.0201528	10	0.001
0	0	100	0.0001	0.4	4.49885e-06	0.0220987	7.75916e-05	1e-05	2.18062	0.0200503	10	0.001
0	0	100	0.0001	0.4	4.71258e-06	0.0219813	8.09932e-05	1e-05	2.08003	0.0199437	10	0.001
0	0	100	0.0001	0.4	4.93648e-06	0.0218593	8.45292e-05	1e-05	1.98402	0.0198331	10	0.001
0	0	100	0.0001	0.4	5.17101e-06	0.0217327	8.82034e-05	1e-05	1.89239	0.0197182	10	0.001
0	0	100	0.0001	0.4	5.41668e-06	0.0216013	9.20198e-05	1e-05	1.80493	0.019599	10	0.001
0	0	100	0.0001	0.4	5.67402e-06	0.0214649	9.59821e-05	1e-05	1.72146	0.0194753	10	0.001
0	0	100	0.0001	0.4	5.94359e-06	0.0213236	0.000100094	1e-05	1.64179	0.0193471	10	0.001
0	0	100	0.0001	0.4	6.22597e-06	0.0211771	0.000104359	1e-05	1.56576	0.0192142	10	0.001
0	0	100	0.0001	0.4	6.52176e-06	0.0210253	0.00010878	1e-05	1.49321	0.0190765	10	0.001
0	0	100	0.0001	0.4	6.8316e-06	0.0208683	0.000113361	1e-05	1.42396	0.018934	10	0.001
0	0	100	0.0001	0.4	7.15617e-06	0.0207058	0.000118105	1e-05	1.35788	0.0187866	10	0.001
0	0	100	0.0001	0.4	7.49615e-06	0.0205378	0.000123015	1e-05	1.29483	0.0186342	10	0.001
0	0	100	0.0001	0.4	7.85229e-06	0.0203642	0.000128094	1e-05	1.23465	0.0184768	10	0.001
0	0	100	0.0001	0.4	8.22535e-06	0.020185	0.000133343	1e-05	1.17724	0.0183142	10	0.001
0	0	100	0.0001	0.4	8.61613e-06	0.0200001	0.000138765	1e-05	1.12245	0.0181465	10	0.001
0	0	100	0.0001	0.4	9.02548e-06	0.0198095	0.000144361	1e-05	1.07017	0.0179735	10	0.001
0	0	100	0.0001	0.4	9.45427e-06	0.0196131	0.000150133	1e-05	1.0203	0.0177954	10	0.001
0	0	100	0.0001	0.4	9.90344e-06	0.019411	0.000156082	1e-05	0.972708	0.017612	10	0.001
0	0	100	0.0001	0.4	1.03739e-05	0.0192031	0.000162207	1e-05	0.927308	0.0174235	10	0.001
0	0	100	0.0001	0.4	1.08668e-05	0.0189895	0.000168509	1e-05	0.883996	0.0172297	10	0.001
0	0	100	0.0001	0.4	1.13831e-05	0.0187703	0.000174987	1e-05	0.842677	0.0170308	10	0.001
0	0	100	0.0001	0.4	1.19239e-05	0.0185454	0.00018164	1e-05	0.803262	0.0168269	10	0.001
0	0	100	0.0001	0.4	1.24904e-05	0.0183151	0.000188465	1e-05	0.765665	0.0166179	10	0.001
0	0	100	0.0001	0.4	1.30838e-05	0.0180793	0.000195461	1e-05	0.729803	0.016404	10	0.001
0	0	100	0.0001	0.4	1.37054e-05	0.0178383	0.000202623	1e-05	0.695598	0.0161854	10	0.001
0	0	100	0.0001	0.4	1.43565e-05	0.0175922	0.000209947	1e-05	0.662976	0.0159621	10	0.001
0	0	100	0.0001	0.4	1.50386e-05	0.0173412	0.000217429	1e-05	0.631863	0.0157344	10	0.001
0	0	100	0.0001	0.4	1.57531e-05	0.0170855	0.000225064	1e-05	0.602192	0.0155025	10	0.001
0	0	100	0.0001	0.4	1.65015e-05	0.0168253	0.000232844	1e-05	0.573897	0.0152664	10	0.001
0	0	100	0.0001	0.4	1.72855e-05	0.0165609	0.000240763	1e-05	0.546917	0.0150266	10	0.001
0	0	100	0.0001	0.4	1.81067e-05	0.0162926	0.000248812	1e-05	0.52119	0.0147832	10	0.001
0	0	100	0.0001	0.4	1.89669e-05	0.0160207	0.000256983	1e-05	0.496661	0.0145365	10	0.001
0	0	100	0.0001	0.4	1.98681e-05	0.0157455	0.000265267	1e-05	0.473273	0.0142868	10	0.001
0	0	100	0.0001	0.4	2.0812e-05	0.0154673	0.000273653	1e-05	0.450976	0.0140345	10	0.001
0	0	100	0.0001	0.4	2.18007e-05	0.0151867	0.000282131	1e-05	0.429719	0.0137799	10	0.001
0	0	100	0.0001	0.4	2.28365e-05	0.0149038	0.000290688	1e-05	0.409454	0.0135233	10	0.001
0	0	100	0.0001	0.4	2.39214e-05	0.0146192	0.000299314	1e-05	0.390137	0.0132651	10	0.001
0	0	100	0.0001	0.4	2.50579e-05	0.0143332	0.000307995	1e-05	0.371723	0.0130057	10	0.001
0	0	100	0.0001	0.4	2.62484e-05	0.0140463	0.000316719	1e-05	0.35417	0.0127455	10	0.001
0	0	100	0.0001	0.4	2.74955e-05	0.013759	0.000325472	1e-05	0.33744	0.0124848	10	0.001
0	0	100	0.0001	0.4	2.88017e-05	0.0134716	0.000334242	1e-05	0.321493	0.0122241	10	0.001
0	0	100	0.0001	0.4	3.01701e-05	0.0131846	0.000343014	1e-05	0.306293	0.0119637	10	0.001
0	0	100	0.0001	0.4	3.16035e-05	0.0128985	0.000351774	1e-05	0.291806	0.0117042	10	0.001
0	0	100	0.0001	0.4	3.31049e-05	0.0126136	0.000360509	1e-05	0.277998	0.0114458	10	0.001
0	0	100	0.0001	0.4	3.46777e-05	0.0123305	0.000369206	1e-05	0.264838	0.0111889	10	0.001
0	0	100	0.0001	0.4	3.63252e-05	0.0120495	0.000377851	1e-05	0.252296	0.010934	10	0.001
0	0	100	0.0001	0.4	3.8051e-05	0.011771	0.000386432	1e-05	0.240341	0.0106814	10	0.001
0	0	100	0.0001	0.4	3.98588e-05	0.0114954	0.000394936	1e-05	0.228948	0.0104314	10	0.001
0	0	100	0.0001	0.4	4.17525e-05	0.0112232	0.00040335	1e-05	0.218088	0.0101844	10	0.001
0	0	100	0.0001	0.4	4.37361e-05	0.0109545	0.000411664	1e-05	0.207738	0.00994066	10	0.001
0	0	100	0.0001	0.4	4.5814e-05	0.0106898	0.000419866	1e-05	0.197873	0.00970054	10	0.001
0	0	100	0.0001	0.4	4.79906e-05	0.0104294	0.000427947	1e-05	0.18847	0.00946429	10	0.001
0	0	100	0.0001	0.4	5.02706e-05	0.0101735	0.000435896	1e-05	0.179508	0.00923214	10	0.001
0	0	100	0.0001	0.4	5.26589e-05	0.00992235	0.000443706	1e-05	0.170965	0.00900434	10	0.001
0	0	100	0.0001	0.4	5.51607e-05	0.00967624	0.000451368	1e-05	0.162822	0.00878108	10	0.001
0	0	100	0.0001	0.4	5.77814e-05	0.00943534	0.000458876	1e-05	0.155059	0.00856254	10	0.001
0	0	100	0.0001	0.4	6.05266e-05	0.00919981	0.000466222	1e-05	0.147659	0.00834888	10	0.001
0	0	100	0.0001	0.4	6.34021e-05	0.0089698	0.000473401	1e-05	0.140605	0.00814022	10	0.001
0	0	100	0.0001	0.4	6.64143e-05	0.00874544	0.000480409	1e-05	0.133879	0.00793669	10	0.001
0	0	100	0.0001	0.4	6.95696e-05	0.00852681	0.000487242	1e-05	0.127468	0.00773835	10	0.001
0	0	100	0.0001	0.4	7.28749e-05	0.00831398	0.000493896	1e-05	0.121354	0.00754529	10	0.001
0	0	100	0.0001	0.4	7.63371e-05	0.00810701	0.000500369	1e-05	0.115526	0.00735753	10	0.001
0	0	100	0.0001	0.4	7.99638e-05	0.00790592	0.000506659	1e-05	0.109968	0.00717511	10	0.001
0	0	100	0.0001	0.4	8.37629e-05	0.00771073	0.000512764	1e-05	0.104668	0.00699803	10	0.001
0	0	100	0.0001	0.4	8.77424e-05	0.0075214	0.000518685	1e-05	0.0996151	0.00682629	10	0.001
0	0	100	0.0001	0.4	9.1911e-05	0.00733793	0.00052442	1e-05	0.0947961	0.00665985	10	0.001
0	0	100	0.0001	0.4	9.62776e-05	0.00716027	0.000529971	1e-05	0.0902005	0.00649868	10	0.001
0	0	100	0.0001	0.4	0.000100852	0.00698835	0.000535338	1e-05	0.0858177	0.00634272	10	0.001
0	0	100	0.0001	0.4	0.000105643	0.0068221	0.000540523	1e-05	0.0816378	0.00619191	10	0.001
0	0	100	0.0001	0.4	0.000110662	0.00666145	0.000545527	1e-05	0.0776511	0.00604617	10	0.001
