(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	100	0.0001	0.4	2.7e-06	0.00220943	0.000470441	0.0001	0.000494375	0.00200644	10	0.001
0	10	100	0.0001	0.4	2.82828e-06	0.00220942	0.00047044	0.0001	0.000494372	0.00200644	10	0.001
0	10	100	0.0001	0.4	2.96265e-06	0.00220942	0.000470439	0.0001	0.000494368	0.00200643	10	0.001
0	10	100	0.0001	0.4	3.1034e-06	0.00220941	0.000470437	0.0001	0.000494365	0.00200643	10	0.001
0	10	100	0.0001	0.4	3.25084e-06	0.0022094	0.000470436	0.0001	0.000494362	0.00200642	10	0.001
0	10	100	0.0001	0.4	3.40529e-06	0.0022094	0.000470435	0.0001	0.000494358	0.00200641	10	0.001
0	10	100	0.0001	0.4	3.56707e-06	0.00220939	0.000470433	0.0001	0.000494354	0.00200641	10	0.001
0	10	100	0.0001	0.4	3.73654e-06	0.00220938	0.000470432	0.0001	0.00049435	0.0020064	10	0.001
0	10	100	0.0001	0.4	3.91406e-06	0.00220937	0.00047043	0.0001	0.000494346	0.00200639	10	0.001
0	10	100	0.0001	0.4	4.10001e-06	0.00220937	0.000470429	0.0001	0.000494342	0.00200639	10	0.001
0	10	100	0.0001	0.4	4.2948e-06	0.00220936	0.000470427	0.0001	0.000494337	0.00200638	10	0.001
0	10	100	0.0001	0.4	4.49885e-06	0.00220935	0.000470425	0.0001	0.000494333	0.00200637	10	0.001
0	10	100	0.0001	0.4	4.71258e-06	0.00220934	0.000470424	0.0001	0.000494328	0.00200636	10	0.001
0	10	100	0.0001	0.4	4.93648e-06	0.00220933	0.000470422	0.0001	0.000494322	0.00200635	10	0.001
0	10	100	0.0001	0.4	5.17101e-06	0.00220932	0.00047042	0.0001	0.000494317	0.00200634	10	0.001
0	10	100	0.0001	0.4	5.41668e-06	0.00220931	0.000470417	0.0001	0.000494311	0.00200633	10	0.001
0	10	100	0.0001	0.4	5.67402e-06	0.0022093	0.000470415	0.0001	0.000494305	0.00200632	10	0.001
0	10	100	0.0001	0.4	5.94359e-06	0.00220928	0.000470413	0.0001	0.000494299	0.00200631	10	0.001
0	10	100	0.0001	0.4	6.22597e-06	0.00220927	0.000470411	0.0001	0.000494292	0.0020063	10	0.001
0	10	100	0.0001	0.4	6.52176e-06	0.00220926	0.000470408	0.0001	0.000494285	0.00200629	10	0.001
0	10	100	0.0001	0.4	6.8316e-06	0.00220924	0.000470405	0.0001	0.000494278	0.00200628	10	0.001
0	10	100	0.0001	0.4	7.15617e-06	0.00220923	0.000470402	0.0001	0.000494271	0.00200626	10	0.001
