(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	0	100	1e-07	0.4	1e-05	0.0513699	0.000267102	1e-05	0.901977	0.0466037	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0524483	0.000257055	1.04713e-05	0.947048	0.0475821	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0535029	0.000247249	1.09648e-05	0.994385	0.0485388	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0545326	0.000237695	1.14815e-05	1.0441	0.0494728	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0555362	0.000228398	1.20226e-05	1.09629	0.0503833	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0565133	0.000219365	1.25893e-05	1.15109	0.0512696	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.057463	0.000210599	1.31826e-05	1.20861	0.0521312	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0583851	0.000202103	1.38038e-05	1.26898	0.0529677	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0592793	0.000193879	1.44544e-05	1.33232	0.0537789	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0601455	0.000185924	1.51356e-05	1.39879	0.0545646	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0609837	0.000178239	1.58489e-05	1.46853	0.0553249	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0617939	0.000170821	1.65959e-05	1.54167	0.05606	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0625765	0.000163666	1.7378e-05	1.61839	0.0567699	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0633318	0.000156771	1.8197e-05	1.69885	0.0574551	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0640601	0.000150132	1.90546e-05	1.78322	0.0581158	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0647619	0.000143742	1.99526e-05	1.87169	0.0587524	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0654377	0.000137596	2.0893e-05	1.96443	0.0593655	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0660881	0.000131689	2.18776e-05	2.06165	0.0599555	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0667137	0.000126013	2.29087e-05	2.16357	0.060523	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0673151	0.000120564	2.39883e-05	2.27038	0.0610685	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.067893	0.000115333	2.51189e-05	2.38234	0.0615927	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0684479	0.000110314	2.63027e-05	2.49966	0.0620962	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0689807	0.000105501	2.75423e-05	2.6226	0.0625795	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.069492	0.000100886	2.88403e-05	2.75143	0.0630433	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0699825	9.64636e-05	3.01995e-05	2.88641	0.0634883	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0704529	9.22258e-05	3.16228e-05	3.02784	0.063915	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0709038	8.81664e-05	3.31131e-05	3.17602	0.064324	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.071336	8.42788e-05	3.46737e-05	3.33125	0.0647161	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0717501	8.05567e-05	3.63078e-05	3.49387	0.0650918	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0721469	7.69937e-05	3.80189e-05	3.66423	0.0654517	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0725268	7.35836e-05	3.98107e-05	3.84268	0.0657964	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0728906	7.03205e-05	4.16869e-05	4.02961	0.0661264	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0732389	6.71985e-05	4.36516e-05	4.22541	0.0664424	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0735724	6.4212e-05	4.57088e-05	4.43049	0.0667448	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0738914	6.13555e-05	4.7863e-05	4.6453	0.0670343	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0741968	5.86236e-05	5.01187e-05	4.87029	0.0673112	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0744889	5.60112e-05	5.24807e-05	5.10594	0.0675763	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0747684	5.35133e-05	5.49541e-05	5.35274	0.0678298	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0750357	5.11252e-05	5.7544e-05	5.61122	0.0680723	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0752913	4.88422e-05	6.0256e-05	5.88193	0.0683042	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0755359	4.66599e-05	6.30957e-05	6.16544	0.068526	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0757697	4.4574e-05	6.60693e-05	6.46235	0.0687381	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0759932	4.25803e-05	6.91831e-05	6.7733	0.0689409	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.076207	4.0675e-05	7.24436e-05	7.09894	0.0691348	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0764113	3.88541e-05	7.58578e-05	7.43997	0.0693202	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0766066	3.71141e-05	7.94328e-05	7.7971	0.0694974	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0767934	3.54514e-05	8.31764e-05	8.1711	0.0696668	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0769718	3.38627e-05	8.70964e-05	8.56276	0.0698287	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0771424	3.23447e-05	9.12011e-05	8.97291	0.0699834	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0773054	3.08943e-05	9.54993e-05	9.40241	0.0701313	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0774613	2.95086e-05	0.0001	9.85219	0.0702726	10	10	0.001
0	0	100	1e-07	0.4	1e-05	0.0776101	2.81848e-05	0.000104713	10.3232	0.0704077	10	10	0.001
