(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
1	10	0	5e-06	0.4	1e-05	1.56247e-05	3.60492e-06	1e-05	4.93849e-05	1.41712e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	1.63579e-05	3.77386e-06	1.04713e-05	5.17126e-05	1.48363e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	1.71254e-05	3.95067e-06	1.09648e-05	5.41501e-05	1.55324e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	1.79288e-05	4.1357e-06	1.14815e-05	5.67025e-05	1.6261e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	1.87697e-05	4.32935e-06	1.20226e-05	5.93752e-05	1.70237e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	1.96498e-05	4.532e-06	1.25893e-05	6.21739e-05	1.78219e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.05709e-05	4.74408e-06	1.31826e-05	6.51045e-05	1.86574e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.1535e-05	4.966e-06	1.38038e-05	6.81733e-05	1.95318e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.2544e-05	5.19822e-06	1.44544e-05	7.13868e-05	2.04469e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.36e-05	5.44121e-06	1.51356e-05	7.47518e-05	2.14047e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.47052e-05	5.69546e-06	1.58489e-05	7.82755e-05	2.2407e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.58617e-05	5.96148e-06	1.65959e-05	8.19652e-05	2.3456e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.70721e-05	6.23982e-06	1.7378e-05	8.58289e-05	2.45537e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.83386e-05	6.53102e-06	1.8197e-05	8.98749e-05	2.57025e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	2.96639e-05	6.83567e-06	1.90546e-05	9.41115e-05	2.69045e-05	10	10	0.001
1	10	0	5e-06	0.4	1e-05	3.10508e-05	7.15438e-06	1.99526e-05	9.8548e-05	2.81623e-05	10	10	0.001
