(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
0	0	100	5e-06	0.4	2.7e-06	0.0800122	7.98655e-06	0.0001	36.8844	0.0725867	10	10	0.001
0	0	100	5e-06	0.4	2.82828e-06	0.0799671	8.3657e-06	0.0001	35.2046	0.0725458	10	10	0.001
0	0	100	5e-06	0.4	2.96265e-06	0.0799198	8.76284e-06	0.0001	33.6011	0.0725029	10	10	0.001
0	0	100	5e-06	0.4	3.1034e-06	0.0798703	9.17882e-06	0.0001	32.0703	0.072458	10	10	0.001
0	0	100	5e-06	0.4	3.25084e-06	0.0798185	9.61452e-06	0.0001	30.609	0.072411	10	10	0.001
0	0	100	5e-06	0.4	3.40529e-06	0.0797642	1.00709e-05	0.0001	29.2139	0.0723617	10	10	0.001
0	0	100	5e-06	0.4	3.56707e-06	0.0797073	1.05489e-05	0.0001	27.8821	0.0723101	10	10	0.001
0	0	100	5e-06	0.4	3.73654e-06	0.0796478	1.10495e-05	0.0001	26.6108	0.0722561	10	10	0.001
0	0	100	5e-06	0.4	3.91406e-06	0.0795854	1.15739e-05	0.0001	25.3971	0.0721996	10	10	0.001
0	0	100	5e-06	0.4	4.10001e-06	0.0795201	1.21231e-05	0.0001	24.2384	0.0721403	10	10	0.001
0	0	100	5e-06	0.4	4.2948e-06	0.0794517	1.26984e-05	0.0001	23.1324	0.0720783	10	10	0.001
0	0	100	5e-06	0.4	4.49885e-06	0.0793801	1.33009e-05	0.0001	22.0765	0.0720134	10	10	0.001
0	0	100	5e-06	0.4	4.71258e-06	0.0793052	1.39319e-05	0.0001	21.0685	0.0719453	10	10	0.001
0	0	100	5e-06	0.4	4.93648e-06	0.0792266	1.45928e-05	0.0001	20.1062	0.0718741	10	10	0.001
0	0	100	5e-06	0.4	5.17101e-06	0.0791444	1.5285e-05	0.0001	19.1876	0.0717995	10	10	0.001
0	0	100	5e-06	0.4	5.41668e-06	0.0790584	1.601e-05	0.0001	18.3106	0.0717215	10	10	0.001
0	0	100	5e-06	0.4	5.67402e-06	0.0789682	1.67693e-05	0.0001	17.4735	0.0716397	10	10	0.001
0	0	100	5e-06	0.4	5.94359e-06	0.0788739	1.75644e-05	0.0001	16.6743	0.0715541	10	10	0.001
0	0	100	5e-06	0.4	6.22597e-06	0.0787751	1.83972e-05	0.0001	15.9114	0.0714645	10	10	0.001
0	0	100	5e-06	0.4	6.52176e-06	0.0786717	1.92694e-05	0.0001	15.1832	0.0713707	10	10	0.001
0	0	100	5e-06	0.4	6.8316e-06	0.0785634	2.01827e-05	0.0001	14.4879	0.0712724	10	10	0.001
0	0	100	5e-06	0.4	7.15617e-06	0.07845	2.11393e-05	0.0001	13.8243	0.0711696	10	10	0.001
0	0	100	5e-06	0.4	7.49615e-06	0.0783313	2.21409e-05	0.0001	13.1907	0.0710619	10	10	0.001
0	0	100	5e-06	0.4	7.85229e-06	0.0782071	2.31899e-05	0.0001	12.5859	0.0709492	10	10	0.001
0	0	100	5e-06	0.4	8.22535e-06	0.078077	2.42883e-05	0.0001	12.0086	0.0708312	10	10	0.001
0	0	100	5e-06	0.4	8.61613e-06	0.0779409	2.54386e-05	0.0001	11.4574	0.0707077	10	10	0.001
0	0	100	5e-06	0.4	9.02548e-06	0.0777984	2.6643e-05	0.0001	10.9313	0.0705785	10	10	0.001
0	0	100	5e-06	0.4	9.45427e-06	0.0776493	2.79042e-05	0.0001	10.4291	0.0704432	10	10	0.001
0	0	100	5e-06	0.4	9.90344e-06	0.0774932	2.92247e-05	0.0001	9.94963	0.0703016	10	10	0.001
0	0	100	5e-06	0.4	1.03739e-05	0.0773298	3.06073e-05	0.0001	9.49197	0.0701534	10	10	0.001
0	0	100	5e-06	0.4	1.08668e-05	0.0771589	3.20549e-05	0.0001	9.0551	0.0699983	10	10	0.001
0	0	100	5e-06	0.4	1.13831e-05	0.07698	3.35704e-05	0.0001	8.63807	0.0698361	10	10	0.001
0	0	100	5e-06	0.4	1.19239e-05	0.0767928	3.51571e-05	0.0001	8.23999	0.0696663	10	10	0.001
0	0	100	5e-06	0.4	1.24904e-05	0.076597	3.68181e-05	0.0001	7.86	0.0694886	10	10	0.001
0	0	100	5e-06	0.4	1.30838e-05	0.0763921	3.85568e-05	0.0001	7.49727	0.0693028	10	10	0.001
0	0	100	5e-06	0.4	1.37054e-05	0.0761778	4.03769e-05	0.0001	7.15103	0.0691083	10	10	0.001
0	0	100	5e-06	0.4	1.43565e-05	0.0759536	4.22819e-05	0.0001	6.82054	0.0689049	10	10	0.001
0	0	100	5e-06	0.4	1.50386e-05	0.0757191	4.42758e-05	0.0001	6.50507	0.0686922	10	10	0.001
0	0	100	5e-06	0.4	1.57531e-05	0.0754738	4.63625e-05	0.0001	6.20395	0.0684697	10	10	0.001
0	0	100	5e-06	0.4	1.65015e-05	0.0752174	4.85462e-05	0.0001	5.91653	0.0682371	10	10	0.001
0	0	100	5e-06	0.4	1.72855e-05	0.0749492	5.08312e-05	0.0001	5.64219	0.0679938	10	10	0.001
0	0	100	5e-06	0.4	1.81067e-05	0.0746689	5.3222e-05	0.0001	5.38034	0.0677395	10	10	0.001
0	0	100	5e-06	0.4	1.89669e-05	0.0743758	5.57233e-05	0.0001	5.13041	0.0674736	10	10	0.001
0	0	100	5e-06	0.4	1.98681e-05	0.0740695	5.83399e-05	0.0001	4.89187	0.0671957	10	10	0.001
0	0	100	5e-06	0.4	2.0812e-05	0.0737493	6.10769e-05	0.0001	4.6642	0.0669053	10	10	0.001
0	0	100	5e-06	0.4	2.18007e-05	0.0734148	6.39393e-05	0.0001	4.44691	0.0666019	10	10	0.001
0	0	100	5e-06	0.4	2.28365e-05	0.0730654	6.69326e-05	0.0001	4.23954	0.0662849	10	10	0.001
0	0	100	5e-06	0.4	2.39214e-05	0.0727004	7.00622e-05	0.0001	4.04163	0.0659538	10	10	0.001
0	0	100	5e-06	0.4	2.50579e-05	0.0723192	7.33339e-05	0.0001	3.85276	0.065608	10	10	0.001
0	0	100	5e-06	0.4	2.62484e-05	0.0719213	7.67536e-05	0.0001	3.67252	0.065247	10	10	0.001
0	0	100	5e-06	0.4	2.74955e-05	0.0715059	8.03272e-05	0.0001	3.50052	0.0648702	10	10	0.001
0	0	100	5e-06	0.4	2.88017e-05	0.0710724	8.4061e-05	0.0001	3.33639	0.0644769	10	10	0.001
0	0	100	5e-06	0.4	3.01701e-05	0.0706201	8.79612e-05	0.0001	3.17979	0.0640667	10	10	0.001
0	0	100	5e-06	0.4	3.16035e-05	0.0701484	9.20343e-05	0.0001	3.03036	0.0636387	10	10	0.001
0	0	100	5e-06	0.4	3.31049e-05	0.0696566	9.62868e-05	0.0001	2.88778	0.0631926	10	10	0.001
0	0	100	5e-06	0.4	3.46777e-05	0.069144	0.000100725	0.0001	2.75176	0.0627276	10	10	0.001
0	0	100	5e-06	0.4	3.63252e-05	0.0686099	0.000105357	0.0001	2.62199	0.062243	10	10	0.001
0	0	100	5e-06	0.4	3.8051e-05	0.0680536	0.000110187	0.0001	2.49819	0.0617384	10	10	0.001
0	0	100	5e-06	0.4	3.98588e-05	0.0674744	0.000115225	0.0001	2.3801	0.061213	10	10	0.001
0	0	100	5e-06	0.4	4.17525e-05	0.0668718	0.000120475	0.0001	2.26746	0.0606664	10	10	0.001
0	0	100	5e-06	0.4	4.37361e-05	0.066245	0.000125944	0.0001	2.16003	0.0600978	10	10	0.001
0	0	100	5e-06	0.4	4.5814e-05	0.0655935	0.00013164	0.0001	2.05758	0.0595067	10	10	0.001
0	0	100	5e-06	0.4	4.79906e-05	0.0649166	0.000137568	0.0001	1.95987	0.0588927	10	10	0.001
0	0	100	5e-06	0.4	5.02706e-05	0.0642138	0.000143734	0.0001	1.8667	0.0582551	10	10	0.001
0	0	100	5e-06	0.4	5.26589e-05	0.0634846	0.000150144	0.0001	1.77787	0.0575936	10	10	0.001
0	0	100	5e-06	0.4	5.51607e-05	0.0627285	0.000156804	0.0001	1.69319	0.0569078	10	10	0.001
0	0	100	5e-06	0.4	5.77814e-05	0.0619452	0.000163719	0.0001	1.61246	0.0561972	10	10	0.001
0	0	100	5e-06	0.4	6.05266e-05	0.0611343	0.000170892	0.0001	1.53551	0.0554616	10	10	0.001
0	0	100	5e-06	0.4	6.34021e-05	0.0602957	0.000178326	0.0001	1.46218	0.0547008	10	10	0.001
0	0	100	5e-06	0.4	6.64143e-05	0.0594291	0.000186026	0.0001	1.3923	0.0539147	10	10	0.001
0	0	100	5e-06	0.4	6.95696e-05	0.0585346	0.000193993	0.0001	1.32571	0.0531033	10	10	0.001
0	0	100	5e-06	0.4	7.28749e-05	0.0576124	0.000202226	0.0001	1.26228	0.0522666	10	10	0.001
0	0	100	5e-06	0.4	7.63371e-05	0.0566625	0.000210727	0.0001	1.20186	0.0514049	10	10	0.001
0	0	100	5e-06	0.4	7.99638e-05	0.0556855	0.000219493	0.0001	1.14431	0.0505186	10	10	0.001
0	0	100	5e-06	0.4	8.37629e-05	0.0546818	0.000228522	0.0001	1.0895	0.0496082	10	10	0.001
0	0	100	5e-06	0.4	8.77424e-05	0.0536523	0.000237807	0.0001	1.03732	0.0486742	10	10	0.001
0	0	100	5e-06	0.4	9.1911e-05	0.0525978	0.000247344	0.0001	0.987643	0.0477176	10	10	0.001
0	0	100	5e-06	0.4	9.62776e-05	0.0515194	0.000257124	0.0001	0.940355	0.0467394	10	10	0.001
0	0	100	5e-06	0.4	0.000100852	0.0504185	0.000267136	0.0001	0.895347	0.0457406	10	10	0.001
0	0	100	5e-06	0.4	0.000105643	0.0492965	0.00027737	0.0001	0.852517	0.0447228	10	10	0.001
0	0	100	5e-06	0.4	0.000110662	0.0481551	0.00028781	0.0001	0.811763	0.0436874	10	10	0.001
0	0	100	5e-06	0.4	0.00011592	0.0469962	0.00029844	0.0001	0.772989	0.0426361	10	10	0.001
0	0	100	5e-06	0.4	0.000121427	0.045822	0.000309244	0.0001	0.736104	0.0415709	10	10	0.001
0	0	100	5e-06	0.4	0.000127196	0.0446347	0.0003202	0.0001	0.701018	0.0404939	10	10	0.001
0	0	100	5e-06	0.4	0.000133239	0.0434369	0.000331287	0.0001	0.667646	0.0394072	10	10	0.001
0	0	100	5e-06	0.4	0.000139569	0.0422311	0.000342482	0.0001	0.635907	0.0383134	10	10	0.001
0	0	100	5e-06	0.4	0.0001462	0.04102	0.000353759	0.0001	0.605721	0.0372148	10	10	0.001
0	0	100	5e-06	0.4	0.000153146	0.0398066	0.000365092	0.0001	0.577014	0.036114	10	10	0.001
0	0	100	5e-06	0.4	0.000160422	0.0385937	0.000376453	0.0001	0.549713	0.0350137	10	10	0.001
0	0	100	5e-06	0.4	0.000168043	0.0373844	0.000387815	0.0001	0.523749	0.0339167	10	10	0.001
0	0	100	5e-06	0.4	0.000176027	0.0361816	0.000399149	0.0001	0.499054	0.0328255	10	10	0.001
0	0	100	5e-06	0.4	0.00018439	0.0349882	0.000410426	0.0001	0.475565	0.0317429	10	10	0.001
0	0	100	5e-06	0.4	0.00019315	0.0338071	0.000421619	0.0001	0.453222	0.0306715	10	10	0.001
0	0	100	5e-06	0.4	0.000202326	0.0326411	0.0004327	0.0001	0.431965	0.0296138	10	10	0.001
0	0	100	5e-06	0.4	0.000211939	0.0314928	0.000443641	0.0001	0.411739	0.0285721	10	10	0.001
0	0	100	5e-06	0.4	0.000222008	0.0303647	0.000454419	0.0001	0.392492	0.0275488	10	10	0.001
0	0	100	5e-06	0.4	0.000232555	0.0292591	0.000465009	0.0001	0.374172	0.0265458	10	10	0.001
0	0	100	5e-06	0.4	0.000243604	0.0281779	0.000475389	0.0001	0.356733	0.025565	10	10	0.001
0	0	100	5e-06	0.4	0.000255177	0.0271231	0.00048554	0.0001	0.340127	0.0246081	10	10	0.001
0	0	100	5e-06	0.4	0.000267301	0.0260961	0.000495445	0.0001	0.324313	0.0236764	10	10	0.001
0	0	100	5e-06	0.4	0.00028	0.0250983	0.000505089	0.0001	0.309249	0.0227713	10	10	0.001
