(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	-0.000705187	-0.00015723750000000002	1e-05	4.93842e-05	0.00014238	10	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.0007051849999999999	-0.0001572367	1e-05	4.93839e-05	0.000142379	10	10	0.001
10	10	0	5e-06	0.4	2.96265e-06	-0.0007051830000000001	-0.00015723689999999998	1e-05	4.93837e-05	0.000142378	10	10	0.001
10	10	0	5e-06	0.4	3.1034e-06	-0.00070518	-0.0001572361	1e-05	4.93835e-05	0.000142377	10	10	0.001
10	10	0	5e-06	0.4	3.25084e-06	-0.000705178	-0.00015723539999999998	1e-05	4.93832e-05	0.000142376	10	10	0.001
10	10	0	5e-06	0.4	3.40529e-06	-0.000705175	-0.0001572346	1e-05	4.93829e-05	0.000142375	10	10	0.001
10	10	0	5e-06	0.4	3.56707e-06	-0.000705172	-0.0001572339	1e-05	4.93827e-05	0.000142374	10	10	0.001
10	10	0	5e-06	0.4	3.73654e-06	-0.000705168	-0.00015723309999999998	1e-05	4.93824e-05	0.000142373	10	10	0.001
10	10	0	5e-06	0.4	3.91406e-06	-0.0007051659999999999	-0.00015723240000000002	1e-05	4.93821e-05	0.000142372	10	10	0.001
10	10	0	5e-06	0.4	4.10001e-06	-0.000705162	-0.0001572317	1e-05	4.93817e-05	0.000142371	10	10	0.001
10	10	0	5e-06	0.4	4.2948e-06	-0.000705158	-0.000157231	1e-05	4.93814e-05	0.00014237	10	10	0.001
10	10	0	5e-06	0.4	4.49885e-06	-0.000705154	-0.0001572303	1e-05	4.93811e-05	0.000142369	10	10	0.001
10	10	0	5e-06	0.4	4.71258e-06	-0.000705151	-0.00015722959999999998	1e-05	4.93807e-05	0.000142367	10	10	0.001
10	10	0	5e-06	0.4	4.93648e-06	-0.000705146	-0.000157229	1e-05	4.93803e-05	0.000142366	10	10	0.001
10	10	0	5e-06	0.4	5.17101e-06	-0.000705142	-0.0001572283	1e-05	4.93799e-05	0.000142365	10	10	0.001
10	10	0	5e-06	0.4	5.41668e-06	-0.000705138	-0.0001572267	1e-05	4.93795e-05	0.000142363	10	10	0.001
10	10	0	5e-06	0.4	5.67402e-06	-0.000705133	-0.0001572261	1e-05	4.9379e-05	0.000142362	10	10	0.001
10	10	0	5e-06	0.4	5.94359e-06	-0.000705128	-0.0001572245	1e-05	4.93786e-05	0.00014236	10	10	0.001
10	10	0	5e-06	0.4	6.22597e-06	-0.000705123	-0.0001572239	1e-05	4.93781e-05	0.000142358	10	10	0.001
10	10	0	5e-06	0.4	6.52176e-06	-0.000705117	-0.0001572224	1e-05	4.93776e-05	0.000142356	10	10	0.001
10	10	0	5e-06	0.4	6.8316e-06	-0.000705111	-0.00015722189999999999	1e-05	4.9377e-05	0.000142354	10	10	0.001
10	10	0	5e-06	0.4	7.15617e-06	-0.0007051049999999999	-0.00015722040000000002	1e-05	4.93765e-05	0.000142352	10	10	0.001
10	10	0	5e-06	0.4	7.49615e-06	-0.0007051	-0.00015721890000000002	1e-05	4.93759e-05	0.00014235	10	10	0.001
10	10	0	5e-06	0.4	7.85229e-06	-0.0007050930000000001	-0.0001572175	1e-05	4.93753e-05	0.000142348	10	10	0.001
10	10	0	5e-06	0.4	8.22535e-06	-0.000705086	-0.000157216	1e-05	4.93746e-05	0.000142346	10	10	0.001
10	10	0	5e-06	0.4	8.61613e-06	-0.000705078	-0.0001572146	1e-05	4.9374e-05	0.000142344	10	10	0.001
10	10	0	5e-06	0.4	9.02548e-06	-0.000705071	-0.00015721329999999998	1e-05	4.93733e-05	0.000142341	10	10	0.001
10	10	0	5e-06	0.4	9.45427e-06	-0.000705063	-0.0001572109	1e-05	4.93725e-05	0.000142338	10	10	0.001
10	10	0	5e-06	0.4	9.90344e-06	-0.000705055	-0.0001572096	1e-05	4.93717e-05	0.000142336	10	10	0.001
10	10	0	5e-06	0.4	1.03739e-05	-0.000705046	-0.0001572073	1e-05	4.93709e-05	0.000142333	10	10	0.001
10	10	0	5e-06	0.4	1.08668e-05	-0.000705037	-0.0001572061	1e-05	4.93701e-05	0.00014233	10	10	0.001
10	10	0	5e-06	0.4	1.13831e-05	-0.000705028	-0.0001572039	1e-05	4.93692e-05	0.000142327	10	10	0.001
10	10	0	5e-06	0.4	1.19239e-05	-0.0007050170000000001	-0.0001572017	1e-05	4.93683e-05	0.000142323	10	10	0.001
10	10	0	5e-06	0.4	1.24904e-05	-0.000705007	-0.0001571996	1e-05	4.93673e-05	0.00014232	10	10	0.001
10	10	0	5e-06	0.4	1.30838e-05	-0.000704996	-0.0001571965	1e-05	4.93663e-05	0.000142316	10	10	0.001
10	10	0	5e-06	0.4	1.37054e-05	-0.000704984	-0.00015719440000000001	1e-05	4.93652e-05	0.000142312	10	10	0.001
10	10	0	5e-06	0.4	1.43565e-05	-0.000704973	-0.0001571914	1e-05	4.93641e-05	0.000142308	10	10	0.001
10	10	0	5e-06	0.4	1.50386e-05	-0.000704959	-0.00015718950000000002	1e-05	4.93629e-05	0.000142304	10	10	0.001
10	10	0	5e-06	0.4	1.57531e-05	-0.000704946	-0.0001571866	1e-05	4.93617e-05	0.0001423	10	10	0.001
10	10	0	5e-06	0.4	1.65015e-05	-0.000704932	-0.0001571837	1e-05	4.93604e-05	0.000142295	10	10	0.001
10	10	0	5e-06	0.4	1.72855e-05	-0.0007049189999999999	-0.0001571799	1e-05	4.9359e-05	0.000142291	10	10	0.001
10	10	0	5e-06	0.4	1.81067e-05	-0.000704903	-0.0001571772	1e-05	4.93576e-05	0.000142286	10	10	0.001
10	10	0	5e-06	0.4	1.89669e-05	-0.0007048870000000001	-0.0001571735	1e-05	4.93561e-05	0.00014228	10	10	0.001
10	10	0	5e-06	0.4	1.98681e-05	-0.00070487	-0.0001571699	1e-05	4.93546e-05	0.000142275	10	10	0.001
10	10	0	5e-06	0.4	2.0812e-05	-0.000704853	-0.0001571664	1e-05	4.9353e-05	0.000142269	10	10	0.001
10	10	0	5e-06	0.4	2.18007e-05	-0.000704835	-0.0001571629	1e-05	4.93513e-05	0.000142263	10	10	0.001
10	10	0	5e-06	0.4	2.28365e-05	-0.000704815	-0.00015715850000000002	1e-05	4.93495e-05	0.000142257	10	10	0.001
10	10	0	5e-06	0.4	2.39214e-05	-0.000704795	-0.0001571541	1e-05	4.93476e-05	0.00014225	10	10	0.001
10	10	0	5e-06	0.4	2.50579e-05	-0.000704774	-0.00015714990000000002	1e-05	4.93456e-05	0.000142243	10	10	0.001
10	10	0	5e-06	0.4	2.62484e-05	-0.000704752	-0.0001571447	1e-05	4.93436e-05	0.000142236	10	10	0.001
10	10	0	5e-06	0.4	2.74955e-05	-0.0007047290000000001	-0.0001571406	1e-05	4.93415e-05	0.000142228	10	10	0.001
10	10	0	5e-06	0.4	2.88017e-05	-0.000704705	-0.0001571346	1e-05	4.93392e-05	0.00014222	10	10	0.001
10	10	0	5e-06	0.4	3.01701e-05	-0.000704679	-0.00015712970000000001	1e-05	4.93369e-05	0.000142212	10	10	0.001
10	10	0	5e-06	0.4	3.16035e-05	-0.000704653	-0.0001571239	1e-05	4.93344e-05	0.000142203	10	10	0.001
10	10	0	5e-06	0.4	3.31049e-05	-0.000704625	-0.0001571182	1e-05	4.93318e-05	0.000142194	10	10	0.001
10	10	0	5e-06	0.4	3.46777e-05	-0.0007045959999999999	-0.0001571116	1e-05	4.93291e-05	0.000142184	10	10	0.001
10	10	0	5e-06	0.4	3.63252e-05	-0.000704565	-0.0001571052	1e-05	4.93263e-05	0.000142174	10	10	0.001
10	10	0	5e-06	0.4	3.8051e-05	-0.000704533	-0.0001570988	1e-05	4.93233e-05	0.000142164	10	10	0.001
10	10	0	5e-06	0.4	3.98588e-05	-0.0007044989999999999	-0.0001570916	1e-05	4.93202e-05	0.000142153	10	10	0.001
10	10	0	5e-06	0.4	4.17525e-05	-0.0007044639999999999	-0.0001570835	1e-05	4.93169e-05	0.000142141	10	10	0.001
10	10	0	5e-06	0.4	4.37361e-05	-0.0007044270000000001	-0.0001570755	1e-05	4.93135e-05	0.000142129	10	10	0.001
10	10	0	5e-06	0.4	4.5814e-05	-0.000704388	-0.00015706770000000001	1e-05	4.931e-05	0.000142117	10	10	0.001
10	10	0	5e-06	0.4	4.79906e-05	-0.000704348	-0.000157059	1e-05	4.93062e-05	0.000142103	10	10	0.001
10	10	0	5e-06	0.4	5.02706e-05	-0.000704305	-0.0001570505	1e-05	4.93023e-05	0.000142089	10	10	0.001
10	10	0	5e-06	0.4	5.26589e-05	-0.00070426	-0.00015704020000000001	1e-05	4.92982e-05	0.000142075	10	10	0.001
10	10	0	5e-06	0.4	5.51607e-05	-0.0007042140000000001	-0.000157031	1e-05	4.92939e-05	0.00014206	10	10	0.001
10	10	0	5e-06	0.4	5.77814e-05	-0.000704165	-0.00015702	1e-05	4.92894e-05	0.000142044	10	10	0.001
10	10	0	5e-06	0.4	6.05266e-05	-0.0007041139999999999	-0.00015700920000000001	1e-05	4.92847e-05	0.000142027	10	10	0.001
10	10	0	5e-06	0.4	6.34021e-05	-0.0007040600000000001	-0.0001569976	1e-05	4.92798e-05	0.00014201	10	10	0.001
10	10	0	5e-06	0.4	6.64143e-05	-0.000704004	-0.00015698629999999998	1e-05	4.92746e-05	0.000141991	10	10	0.001
10	10	0	5e-06	0.4	6.95696e-05	-0.0007039450000000001	-0.0001569731	1e-05	4.92692e-05	0.000141972	10	10	0.001
10	10	0	5e-06	0.4	7.28749e-05	-0.000703883	-0.0001569601	1e-05	4.92635e-05	0.000141952	10	10	0.001
10	10	0	5e-06	0.4	7.63371e-05	-0.000703818	-0.00015694639999999999	1e-05	4.92576e-05	0.000141931	10	10	0.001
10	10	0	5e-06	0.4	7.99638e-05	-0.0007037489999999999	-0.000156932	1e-05	4.92514e-05	0.000141909	10	10	0.001
10	10	0	5e-06	0.4	8.37629e-05	-0.000703679	-0.0001569168	1e-05	4.92449e-05	0.000141886	10	10	0.001
10	10	0	5e-06	0.4	8.77424e-05	-0.000703603	-0.0001569008	1e-05	4.92381e-05	0.000141862	10	10	0.001
10	10	0	5e-06	0.4	9.1911e-05	-0.000703525	-0.0001568842	1e-05	4.92309e-05	0.000141836	10	10	0.001
10	10	0	5e-06	0.4	9.62776e-05	-0.000703443	-0.0001568669	1e-05	4.92235e-05	0.00014181	10	10	0.001
10	10	0	5e-06	0.4	0.000100852	-0.000703357	-0.0001568489	1e-05	4.92156e-05	0.000141782	10	10	0.001
10	10	0	5e-06	0.4	0.000105643	-0.0007032659999999999	-0.0001568292	1e-05	4.92074e-05	0.000141753	10	10	0.001
10	10	0	5e-06	0.4	0.000110662	-0.000703172	-0.0001568088	1e-05	4.91989e-05	0.000141723	10	10	0.001
10	10	0	5e-06	0.4	0.00011592	-0.0007030729999999999	-0.0001567878	1e-05	4.91899e-05	0.000141691	10	10	0.001
10	10	0	5e-06	0.4	0.000121427	-0.000702968	-0.00015676619999999998	1e-05	4.91805e-05	0.000141658	10	10	0.001
10	10	0	5e-06	0.4	0.000127196	-0.0007028589999999999	-0.00015674300000000001	1e-05	4.91706e-05	0.000141623	10	10	0.001
10	10	0	5e-06	0.4	0.000133239	-0.000702744	-0.00015671819999999999	1e-05	4.91603e-05	0.000141586	10	10	0.001
10	10	0	5e-06	0.4	0.000139569	-0.0007026230000000001	-0.0001566928	1e-05	4.91495e-05	0.000141548	10	10	0.001
10	10	0	5e-06	0.4	0.0001462	-0.000702498	-0.0001566659	1e-05	4.91382e-05	0.000141508	10	10	0.001
10	10	0	5e-06	0.4	0.000153146	-0.0007023649999999999	-0.0001566374	1e-05	4.91264e-05	0.000141466	10	10	0.001
10	10	0	5e-06	0.4	0.000160422	-0.0007022259999999999	-0.00015660849999999998	1e-05	4.9114e-05	0.000141422	10	10	0.001
10	10	0	5e-06	0.4	0.000168043	-0.000702081	-0.0001565771	1e-05	4.91011e-05	0.000141376	10	10	0.001
10	10	0	5e-06	0.4	0.000176027	-0.000701928	-0.0001565442	1e-05	4.90875e-05	0.000141328	10	10	0.001
10	10	0	5e-06	0.4	0.00018439	-0.000701767	-0.0001565108	1e-05	4.90733e-05	0.000141278	10	10	0.001
10	10	0	5e-06	0.4	0.00019315	-0.000701599	-0.0001564741	1e-05	4.90584e-05	0.000141225	10	10	0.001
10	10	0	5e-06	0.4	0.000202326	-0.000701422	-0.00015643700000000002	1e-05	4.90428e-05	0.00014117	10	10	0.001
10	10	0	5e-06	0.4	0.000211939	-0.000701236	-0.0001563975	1e-05	4.90266e-05	0.000141112	10	10	0.001
10	10	0	5e-06	0.4	0.000222008	-0.000701042	-0.0001563557	1e-05	4.90095e-05	0.000141051	10	10	0.001
10	10	0	5e-06	0.4	0.000232555	-0.000700837	-0.0001563126	1e-05	4.89917e-05	0.000140988	10	10	0.001
10	10	0	5e-06	0.4	0.000243604	-0.0007006219999999999	-0.0001562663	1e-05	4.8973e-05	0.000140922	10	10	0.001
10	10	0	5e-06	0.4	0.000255177	-0.000700397	-0.0001562187	1e-05	4.89534e-05	0.000140853	10	10	0.001
10	10	0	5e-06	0.4	0.000267301	-0.0007001609999999999	-0.000156168	1e-05	4.8933e-05	0.00014078	10	10	0.001
10	10	0	5e-06	0.4	0.00028	-0.0006999109999999999	-0.0001561151	1e-05	4.89116e-05	0.000140704	10	10	0.001

10	10	0	5e-06	0.4	2.7e-06	-0.000702661	-0.0001566028	1.04713e-05	5.17119e-05	0.000149094	10	10	0.001
10	10	0	5e-06	0.4	2.82828e-06	-0.000702659	-0.000156602	1.04713e-05	5.17116e-05	0.000149093	10	10	0.001
10	10	0	5e-06	0.4	2.96265e-06	-0.000702657	-0.0001566022	1.04713e-05	5.17114e-05	0.000149092	10	10	0.001
10	10	0	5e-06	0.4	3.1034e-06	-0.000702655	-0.0001566015	1.04713e-05	5.17111e-05	0.000149092	10	10	0.001
10	10	0	5e-06	0.4	3.25084e-06	-0.000702652	-0.00015660069999999998	1.04713e-05	5.17109e-05	0.000149091	10	10	0.001
10	10	0	5e-06	0.4	3.40529e-06	-0.00070265	-0.0001565999	1.04713e-05	5.17106e-05	0.00014909	10	10	0.001
10	10	0	5e-06	0.4	3.56707e-06	-0.000702647	-0.0001566002	1.04713e-05	5.17103e-05	0.000149089	10	10	0.001
10	10	0	5e-06	0.4	3.73654e-06	-0.000702645	-0.0001565995	1.04713e-05	5.171e-05	0.000149087	10	10	0.001
10	10	0	5e-06	0.4	3.91406e-06	-0.0007026409999999999	-0.0001565988	1.04713e-05	5.17097e-05	0.000149086	10	10	0.001
10	10	0	5e-06	0.4	4.10001e-06	-0.000702638	-0.0001565981	1.04713e-05	5.17093e-05	0.000149085	10	10	0.001
10	10	0	5e-06	0.4	4.2948e-06	-0.0007026339999999999	-0.0001565974	1.04713e-05	5.1709e-05	0.000149084	10	10	0.001
10	10	0	5e-06	0.4	4.49885e-06	-0.000702631	-0.00015659670000000002	1.04713e-05	5.17086e-05	0.000149083	10	10	0.001
10	10	0	5e-06	0.4	4.71258e-06	-0.000702627	-0.000156596	1.04713e-05	5.17082e-05	0.000149081	10	10	0.001
10	10	0	5e-06	0.4	4.93648e-06	-0.000702624	-0.00015659540000000002	1.04713e-05	5.17078e-05	0.00014908	10	10	0.001
10	10	0	5e-06	0.4	5.17101e-06	-0.0007026199999999999	-0.0001565938	1.04713e-05	5.17074e-05	0.000149078	10	10	0.001
10	10	0	5e-06	0.4	5.41668e-06	-0.000702615	-0.00015659320000000002	1.04713e-05	5.1707e-05	0.000149077	10	10	0.001
10	10	0	5e-06	0.4	5.67402e-06	-0.000702611	-0.00015659259999999998	1.04713e-05	5.17065e-05	0.000149075	10	10	0.001
10	10	0	5e-06	0.4	5.94359e-06	-0.0007026070000000001	-0.00015659099999999998	1.04713e-05	5.1706e-05	0.000149073	10	10	0.001
10	10	0	5e-06	0.4	6.22597e-06	-0.000702602	-0.0001565905	1.04713e-05	5.17055e-05	0.000149072	10	10	0.001
10	10	0	5e-06	0.4	6.52176e-06	-0.000702597	-0.000156589	1.04713e-05	5.1705e-05	0.00014907	10	10	0.001
10	10	0	5e-06	0.4	6.8316e-06	-0.000702591	-0.0001565885	1.04713e-05	5.17044e-05	0.000149068	10	10	0.001
10	10	0	5e-06	0.4	7.15617e-06	-0.000702587	-0.000156587	1.04713e-05	5.17038e-05	0.000149066	10	10	0.001
10	10	0	5e-06	0.4	7.49615e-06	-0.0007025800000000001	-0.0001565855	1.04713e-05	5.17032e-05	0.000149063	10	10	0.001
10	10	0	5e-06	0.4	7.85229e-06	-0.000702575	-0.0001565841	1.04713e-05	5.17026e-05	0.000149061	10	10	0.001
10	10	0	5e-06	0.4	8.22535e-06	-0.000702568	-0.0001565827	1.04713e-05	5.17019e-05	0.000149059	10	10	0.001
10	10	0	5e-06	0.4	8.61613e-06	-0.000702561	-0.00015658129999999998	1.04713e-05	5.17012e-05	0.000149056	10	10	0.001
