(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
10	10	0	5e-06	0.4	2.7e-06	-0.57666999	-0.0001114179	1e-05	4.93839e-05	0.000129707	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.579098252	-0.00010122439999999999	1.04713e-05	5.17116e-05	0.000135818	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.581363197	-9.157539999999999e-05	1.09648e-05	5.4149e-05	0.000142217	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.58347781	-8.241649999999999e-05	1.14815e-05	5.67013e-05	0.000148917	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.5854530739999999	-7.36963e-05	1.20226e-05	5.9374e-05	0.000155933	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.587299975	-6.53683e-05	1.25893e-05	6.21726e-05	0.000163279	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.589027494	-5.73897e-05	1.31826e-05	6.51032e-05	0.000170971	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.590645613	-4.97214e-05	1.38038e-05	6.81719e-05	0.000179025	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.592161314	-4.23285e-05	1.44544e-05	7.13854e-05	0.000187459	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.5935825779999999	-3.51775e-05	1.51356e-05	7.47503e-05	0.00019629	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.5949163829999999	-2.823780000000001e-05	1.58489e-05	7.82738e-05	0.000205536	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.596168708	-2.1481e-05	1.65959e-05	8.19635e-05	0.000215218	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.597345531	-1.4880699999999995e-05	1.7378e-05	8.58272e-05	0.000225356	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.598450827	-8.4121e-06	1.8197e-05	8.9873e-05	0.000235971	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.599490572	-2.052e-06	1.90546e-05	9.41096e-05	0.000247086	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6004697400000001	4.2216e-06	1.99526e-05	9.85459e-05	0.000258724	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.601390305	1.0429499999999999e-05	2.0893e-05	0.000103191	0.00027091	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6022582369999999	1.659119999999999e-05	2.18776e-05	0.000108056	0.000283669	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.603075506	2.2725900000000005e-05	2.29087e-05	0.00011315	0.000297029	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.603846083	2.88514e-05	2.39883e-05	0.000118484	0.000311018	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.604571933	3.49852e-05	2.51189e-05	0.00012407	0.000325665	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.605257024	4.11443e-05	2.63027e-05	0.000129919	0.000341002	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6059033189999999	4.7345e-05	2.75423e-05	0.000136044	0.00035706	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6065127810000001	5.3603299999999995e-05	2.88403e-05	0.000142458	0.000373873	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.607087371	5.9934899999999994e-05	3.01995e-05	0.000149174	0.000391478	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.607630047	6.63548e-05	3.16228e-05	0.000156207	0.000409911	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.608141768	7.28794e-05	3.31131e-05	0.000163572	0.000429211	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.608624487	7.95227e-05	3.46737e-05	0.000171284	0.000449419	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.609080159	8.62994e-05	3.63078e-05	0.00017936	0.000470577	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.609509734	9.322590000000001e-05	3.80189e-05	0.000187817	0.00049273	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.60991416	0.0001003152	3.98107e-05	0.000196673	0.000515925	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.610296383	0.0001075838	4.16869e-05	0.000205947	0.000540211	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.610656348	0.0001150471	4.36516e-05	0.000215658	0.000565638	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.610994995	0.0001227181	4.57088e-05	0.000225828	0.000592261	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.611314262	0.00013061450000000001	4.7863e-05	0.000236477	0.000620135	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6116140840000001	0.0001387499	5.01187e-05	0.000247628	0.000649319	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.611896395	0.0001471405	5.24807e-05	0.000259306	0.000679874	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.612161123	0.0001558034	5.49541e-05	0.000271535	0.000711866	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.612409193	0.00016475350000000002	5.7544e-05	0.000284342	0.00074536	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.612641529	0.0001740064	6.0256e-05	0.000297752	0.000780427	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.612859049	0.0001835809	6.30957e-05	0.000311796	0.000817142	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.613061669	0.0001934931	6.60693e-05	0.000326502	0.00085558	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.613250298	0.0002037594	6.91831e-05	0.000341903	0.000895823	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61342584	0.0002143978	7.24436e-05	0.000358031	0.000937955	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61358821	0.0002254274	7.58578e-05	0.00037492	0.000982065	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61373829	0.00023686499999999998	7.94328e-05	0.000392607	0.00102824	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6138769900000001	0.0002487304	8.31764e-05	0.000411129	0.00107659	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61400318	0.0002610412	8.70964e-05	0.000430526	0.00112721	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6141177600000001	0.000273818	9.12011e-05	0.000450839	0.00118019	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6142226000000001	0.0002870803	9.54993e-05	0.000472111	0.00123567	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61431557	0.0003008475	0.0001	0.000494389	0.00129374	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61439854	0.0003151398	0.000104713	0.000517718	0.00135453	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61447137	0.00032997858	0.000109648	0.000542151	0.00141818	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61453391	0.00034538396	0.000114815	0.000567738	0.0014848	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6145860099999999	0.00036137805	0.000120226	0.000594534	0.00155455	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61462951	0.00037798092	0.000125893	0.000622598	0.00162756	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61466325	0.00039521655	0.000131826	0.000651988	0.00170399	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6146870400000001	0.00041310391	0.000138038	0.000682767	0.00178399	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6147017	0.00043166687	0.000144544	0.000715003	0.00186774	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6147070400000001	0.00045092828	0.000151356	0.000748763	0.0019554	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6147028699999999	0.00047090796	0.000158489	0.00078412	0.00204716	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6146899699999999	0.00049162967	0.000165959	0.000821151	0.00214322	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61466712	0.0005131141100000001	0.00017378	0.000859933	0.00224375	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6146360900000001	0.000535385	0.00018197	0.000900552	0.00234899	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61459465	0.00055846296	0.000190546	0.000943094	0.00245914	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61454453	0.00058236962	0.000199526	0.00098765	0.00257442	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61448449	0.00060712558	0.00020893	0.00103432	0.00269509	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61441524	0.00063275238	0.000218776	0.0010832	0.00282138	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6143355	0.00065926955	0.000229087	0.00113439	0.00295357	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61424697	0.0006866956099999999	0.000239883	0.00118801	0.00309191	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61414734	0.00071505002	0.000251189	0.00124417	0.00323669	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61403827	0.00074434924	0.000263027	0.001303	0.00338822	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61391843	0.00077461071	0.000275423	0.00136462	0.00354679	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6137884600000001	0.0008058498299999999	0.000288403	0.00142916	0.00371275	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61364697	0.000838079	0.000301995	0.00149677	0.00388642	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61349459	0.0008713115900000001	0.000316228	0.00156759	0.00406816	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6133309	0.0009055579599999999	0.000331131	0.00164177	0.00425834	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61315448	0.00094082643	0.000346737	0.00171947	0.00445736	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6129668699999999	0.00097712434	0.000363078	0.00180088	0.00466561	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6127656	0.00101445099	0.000380189	0.00188615	0.00488352	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6125522	0.00105282566	0.000398107	0.00197548	0.00511154	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61232615	0.00109222464	0.000416869	0.00206906	0.00535012	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61208491	0.00113265818	0.000436516	0.0021671	0.00559975	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61182993	0.00117411655	0.000457088	0.00226981	0.00586094	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6115596299999999	0.0012165899800000001	0.00047863	0.00237742	0.00613422	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61127438	0.00126007869	0.000501187	0.00249017	0.00642014	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.61097356	0.00130454291	0.000524807	0.00260829	0.00671928	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6106555	0.00134997284	0.000549541	0.00273205	0.00703224	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6103215	0.00139634867	0.00057544	0.00286173	0.00735966	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.60996783	0.00144364061	0.00060256	0.00299761	0.0077022	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.60959672	0.00149181882	0.000630957	0.00314	0.00806055	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.60920639	0.00154084348	0.000660693	0.0032892	0.00843544	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.60879598	0.00159067474	0.000691831	0.00344555	0.00882762	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6083636	0.00164126277	0.000724436	0.0036094	0.00923788	10	0.001
10	10	0	5e-06	0.4	2.7e-06	-0.6079104000000001	0.0016925577199999999	0.000758578	0.00378111	0.00966706	10	0.001
