(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	10	10	5e-06	0.4	1e-05	0.000446929	0.000101605	1e-05	4.93442e-05	0.000405646	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000455826	0.000103593	1.04713e-05	5.16712e-05	0.000413717	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000465032	0.000105648	1.09648e-05	5.41079e-05	0.000422068	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000474567	0.000107774	1.14815e-05	5.66594e-05	0.000430718	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00048445	0.000109977	1.20226e-05	5.93313e-05	0.000439682	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000494699	0.000112259	1.25893e-05	6.21291e-05	0.00044898	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000505337	0.000114626	1.31826e-05	6.50588e-05	0.000458629	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000516383	0.000117082	1.38038e-05	6.81267e-05	0.000468649	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000527861	0.000119632	1.44544e-05	7.13392e-05	0.00047906	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000539794	0.00012228	1.51356e-05	7.47032e-05	0.000489885	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000552207	0.000125032	1.58489e-05	7.82257e-05	0.000501144	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000565125	0.000127893	1.65959e-05	8.19144e-05	0.000512862	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000578576	0.000130869	1.7378e-05	8.57769e-05	0.000525062	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000592586	0.000133966	1.8197e-05	8.98216e-05	0.00053777	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000607186	0.000137189	1.90546e-05	9.40571e-05	0.000551013	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000622406	0.000140545	1.99526e-05	9.84922e-05	0.000564818	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000638277	0.000144041	2.0893e-05	0.000103136	0.000579214	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000654835	0.000147683	2.18776e-05	0.000108	0.000594232	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000672112	0.000151478	2.29087e-05	0.000113092	0.000609903	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000690146	0.000155434	2.39883e-05	0.000118425	0.000626261	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000708975	0.000159559	2.51189e-05	0.000124009	0.000643339	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000728639	0.00016386	2.63027e-05	0.000129857	0.000661175	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00074918	0.000168346	2.75423e-05	0.00013598	0.000679806	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000770641	0.000173025	2.88403e-05	0.000142392	0.000699272	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000793068	0.000177907	3.01995e-05	0.000149107	0.000719614	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000816509	0.000183	3.16228e-05	0.000156138	0.000740875	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000841015	0.000188314	3.31131e-05	0.000163501	0.000763102	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000866637	0.00019386	3.46737e-05	0.000171211	0.000786342	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000893431	0.000199648	3.63078e-05	0.000179285	0.000810644	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000921453	0.000205688	3.80189e-05	0.00018774	0.000836061	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000950765	0.000211992	3.98107e-05	0.000196593	0.000862647	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.000981429	0.000218572	4.16869e-05	0.000205865	0.00089046	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00101351	0.000225439	4.36516e-05	0.000215573	0.000919558	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00104708	0.000232607	4.57088e-05	0.00022574	0.000950006	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00108221	0.000240087	4.7863e-05	0.000236386	0.000981869	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00111898	0.000247895	5.01187e-05	0.000247535	0.00101522	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00115746	0.000256043	5.24807e-05	0.00025921	0.00105012	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00119773	0.000264546	5.49541e-05	0.000271436	0.00108665	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.0012399	0.000273419	5.7544e-05	0.000284239	0.00112489	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00128404	0.000282677	6.0256e-05	0.000297646	0.00116493	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00133026	0.000292337	6.30957e-05	0.000311686	0.00120685	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00137865	0.000302415	6.60693e-05	0.000326388	0.00125074	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00142932	0.000312928	6.91831e-05	0.000341785	0.00129669	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00148237	0.000323893	7.24436e-05	0.000357909	0.00134482	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00153794	0.000335328	7.58578e-05	0.000374794	0.00139522	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00159613	0.000347253	7.94328e-05	0.000392476	0.001448	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00165708	0.000359685	8.31764e-05	0.000410993	0.00150328	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00172092	0.000372646	8.70964e-05	0.000430385	0.00156118	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00178779	0.000386155	9.12011e-05	0.000450692	0.00162183	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00185783	0.000400233	9.54993e-05	0.000471959	0.00168536	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00193121	0.000414901	0.0001	0.000494231	0.00175191	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00200808	0.000430181	0.000104713	0.000517554	0.00182164	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00208862	0.000446096	0.000109648	0.00054198	0.00189468	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00217301	0.000462667	0.000114815	0.000567561	0.00197122	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00226143	0.000479919	0.000120226	0.00059435	0.00205142	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00235408	0.000497874	0.000125893	0.000622406	0.00213545	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00245117	0.000516557	0.000131826	0.000651788	0.00222351	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00255291	0.000535993	0.000138038	0.00068256	0.0023158	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00265955	0.000556205	0.000144544	0.000714786	0.00241251	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00277132	0.00057722	0.000151356	0.000748538	0.00251389	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00288847	0.000599061	0.000158489	0.000783885	0.00262014	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00301127	0.000621756	0.000165959	0.000820906	0.00273152	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00314001	0.000645328	0.00017378	0.000859678	0.00284828	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00327497	0.000669805	0.00018197	0.000900286	0.0029707	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00341648	0.000695211	0.000190546	0.000942817	0.00309904	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00356486	0.000721571	0.000199526	0.000987361	0.00323362	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00372045	0.000748911	0.00020893	0.00103402	0.00337475	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00388363	0.000777257	0.000218776	0.00108288	0.00352275	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00405478	0.000806632	0.000229087	0.00113406	0.00367798	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.0042343	0.00083706	0.000239883	0.00118767	0.0038408	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.00442262	0.000868566	0.000251189	0.00124382	0.00401161	10	10	0.001
10	10	10	5e-06	0.4	1e-05	0.0046202	0.000901171	0.000263027	0.00130263	0.00419081	10	10	0.001
