(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	(NAD-consumption without Nam inhibition).ET	Values[scaling].InitialValue
10	0	10	5e-06	0.4	2.7e-06	1.84265	1.17854e-05	0.0001	33.5215	1.67107	10	10	0.001
10	0	10	5e-06	0.4	2.82828e-06	1.84187	1.24053e-05	0.0001	31.8432	1.67036	10	10	0.001
10	0	10	5e-06	0.4	2.96265e-06	1.84104	1.30611e-05	0.0001	30.2412	1.66961	10	10	0.001
10	0	10	5e-06	0.4	3.1034e-06	1.84017	1.37552e-05	0.0001	28.712	1.66881	10	10	0.001
10	0	10	5e-06	0.4	3.25084e-06	1.83925	1.44902e-05	0.0001	27.2523	1.66798	10	10	0.001
10	0	10	5e-06	0.4	3.40529e-06	1.83828	1.5269e-05	0.0001	25.8589	1.6671	10	10	0.001
10	0	10	5e-06	0.4	3.56707e-06	1.83726	1.60947e-05	0.0001	24.529	1.66618	10	10	0.001
10	0	10	5e-06	0.4	3.73654e-06	1.83618	1.69707e-05	0.0001	23.2596	1.6652	10	10	0.001
10	0	10	5e-06	0.4	3.91406e-06	1.83504	1.79006e-05	0.0001	22.0479	1.66417	10	10	0.001
10	0	10	5e-06	0.4	4.10001e-06	1.83384	1.88885e-05	0.0001	20.8915	1.66308	10	10	0.001
10	0	10	5e-06	0.4	4.2948e-06	1.83258	1.99387e-05	0.0001	19.7877	1.66193	10	10	0.001
10	0	10	5e-06	0.4	4.49885e-06	1.83124	2.10561e-05	0.0001	18.7342	1.66071	10	10	0.001
10	0	10	5e-06	0.4	4.71258e-06	1.82982	2.2246e-05	0.0001	17.7287	1.65943	10	10	0.001
10	0	10	5e-06	0.4	4.93648e-06	1.82832	2.35141e-05	0.0001	16.7692	1.65807	10	10	0.001
10	0	10	5e-06	0.4	5.17101e-06	1.82674	2.48669e-05	0.0001	15.8534	1.65663	10	10	0.001
10	0	10	5e-06	0.4	5.41668e-06	1.82506	2.63114e-05	0.0001	14.9796	1.65511	10	10	0.001
10	0	10	5e-06	0.4	5.67402e-06	1.82328	2.78556e-05	0.0001	14.1456	1.6535	10	10	0.001
10	0	10	5e-06	0.4	5.94359e-06	1.82139	2.9508e-05	0.0001	13.3499	1.65178	10	10	0.001
10	0	10	5e-06	0.4	6.22597e-06	1.81938	3.12785e-05	0.0001	12.5906	1.64996	10	10	0.001
10	0	10	5e-06	0.4	6.52176e-06	1.81725	3.31777e-05	0.0001	11.8662	1.64803	10	10	0.001
10	0	10	5e-06	0.4	6.8316e-06	1.81499	3.52179e-05	0.0001	11.1751	1.64598	10	10	0.001
10	0	10	5e-06	0.4	7.15617e-06	1.81257	3.74126e-05	0.0001	10.5158	1.64379	10	10	0.001
10	0	10	5e-06	0.4	7.49615e-06	1.81	3.97771e-05	0.0001	9.88695	1.64146	10	10	0.001
10	0	10	5e-06	0.4	7.85229e-06	1.80726	4.23286e-05	0.0001	9.28715	1.63897	10	10	0.001
10	0	10	5e-06	0.4	8.22535e-06	1.80433	4.50866e-05	0.0001	8.71514	1.63631	10	10	0.001
10	0	10	5e-06	0.4	8.61613e-06	1.80119	4.80733e-05	0.0001	8.16972	1.63347	10	10	0.001
10	0	10	5e-06	0.4	9.02548e-06	1.79783	5.13141e-05	0.0001	7.64974	1.63042	10	10	0.001
10	0	10	5e-06	0.4	9.45427e-06	1.79423	5.48378e-05	0.0001	7.1541	1.62715	10	10	0.001
10	0	10	5e-06	0.4	9.90344e-06	1.79035	5.86778e-05	0.0001	6.68177	1.62363	10	10	0.001
10	0	10	5e-06	0.4	1.03739e-05	1.78617	6.28722e-05	0.0001	6.23177	1.61985	10	10	0.001
10	0	10	5e-06	0.4	1.08668e-05	1.78167	6.74655e-05	0.0001	5.80317	1.61576	10	10	0.001
10	0	10	5e-06	0.4	1.13831e-05	1.77679	7.2509e-05	0.0001	5.3951	1.61134	10	10	0.001
10	0	10	5e-06	0.4	1.19239e-05	1.77151	7.8063e-05	0.0001	5.00675	1.60655	10	10	0.001
10	0	10	5e-06	0.4	1.24904e-05	1.76576	8.41975e-05	0.0001	4.63734	1.60134	10	10	0.001
10	0	10	5e-06	0.4	1.30838e-05	1.7595	9.09955e-05	0.0001	4.28617	1.59566	10	10	0.001
10	0	10	5e-06	0.4	1.37054e-05	1.75265	9.85542e-05	0.0001	3.95258	1.58945	10	10	0.001
10	0	10	5e-06	0.4	1.43565e-05	1.74515	0.000106989	0.0001	3.63598	1.58264	10	10	0.001
10	0	10	5e-06	0.4	1.50386e-05	1.73689	0.000116437	0.0001	3.33582	1.57515	10	10	0.001
10	0	10	5e-06	0.4	1.57531e-05	1.72777	0.00012706	0.0001	3.05162	1.56689	10	10	0.001
10	0	10	5e-06	0.4	1.65015e-05	1.71767	0.000139053	0.0001	2.78298	1.55773	10	10	0.001
10	0	10	5e-06	0.4	1.72855e-05	1.70645	0.000152646	0.0001	2.52954	1.54755	10	10	0.001
10	0	10	5e-06	0.4	1.81067e-05	1.69393	0.00016811	0.0001	2.29104	1.5362	10	10	0.001
10	0	10	5e-06	0.4	1.89669e-05	1.67992	0.000185767	0.0001	2.06727	1.52349	10	10	0.001
10	0	10	5e-06	0.4	1.98681e-05	1.66421	0.00020599	0.0001	1.85812	1.50925	10	10	0.001
10	0	10	5e-06	0.4	2.0812e-05	1.64655	0.000229206	0.0001	1.66352	1.49324	10	10	0.001
10	0	10	5e-06	0.4	2.18007e-05	1.62671	0.000255891	0.0001	1.48346	1.47524	10	10	0.001
10	0	10	5e-06	0.4	2.28365e-05	1.60441	0.000286556	0.0001	1.31796	1.45502	10	10	0.001
10	0	10	5e-06	0.4	2.39214e-05	1.57943	0.000321721	0.0001	1.167	1.43237	10	10	0.001
10	0	10	5e-06	0.4	2.50579e-05	1.5516	0.000361876	0.0001	1.0305	1.40713	10	10	0.001
10	0	10	5e-06	0.4	2.62484e-05	1.52082	0.000407426	0.0001	0.908219	1.37922	10	10	0.001
10	0	10	5e-06	0.4	2.74955e-05	1.48712	0.000458645	0.0001	0.79973	1.34866	10	10	0.001
10	0	10	5e-06	0.4	2.88017e-05	1.45064	0.000515622	0.0001	0.70436	1.31558	10	10	0.001
10	0	10	5e-06	0.4	3.01701e-05	1.41169	0.000578251	0.0001	0.621206	1.28026	10	10	0.001
10	0	10	5e-06	0.4	3.16035e-05	1.37064	0.000646235	0.0001	0.549175	1.24304	10	10	0.001
10	0	10	5e-06	0.4	3.31049e-05	1.32797	0.000719126	0.0001	0.487065	1.20434	10	10	0.001
10	0	10	5e-06	0.4	3.46777e-05	1.28417	0.000796373	0.0001	0.433641	1.16462	10	10	0.001
10	0	10	5e-06	0.4	3.63252e-05	1.23968	0.000877377	0.0001	0.387711	1.12428	10	10	0.001
10	0	10	5e-06	0.4	3.8051e-05	1.19496	0.000961536	0.0001	0.348175	1.08372	10	10	0.001
10	0	10	5e-06	0.4	3.98588e-05	1.15037	0.00104827	0.0001	0.314059	1.04328	10	10	0.001
