(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	100	5e-06	0.4	1e-05	0.00255932	0.000542895	1e-05	4.9145e-05	0.00232423	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00258033	0.000546966	1.04713e-05	5.14709e-05	0.00234331	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00260086	0.000550939	1.09648e-05	5.39065e-05	0.00236196	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00262093	0.000554814	1.14815e-05	5.6457e-05	0.00238019	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00264052	0.00055859	1.20226e-05	5.9128e-05	0.00239798	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00265965	0.000562269	1.25893e-05	6.19249e-05	0.00241535	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00267829	0.000565851	1.31826e-05	6.48539e-05	0.00243229	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00269647	0.000569336	1.38038e-05	6.79211e-05	0.0024488	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00271418	0.000572725	1.44544e-05	7.1133e-05	0.00246488	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00273143	0.000576018	1.51356e-05	7.44964e-05	0.00248054	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00274821	0.000579217	1.58489e-05	7.80186e-05	0.00249578	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00276453	0.000582322	1.65959e-05	8.17069e-05	0.00251061	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00278041	0.000585335	1.7378e-05	8.55693e-05	0.00252502	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00279583	0.000588257	1.8197e-05	8.96138e-05	0.00253903	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00281081	0.000591089	1.90546e-05	9.38492e-05	0.00255264	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00282536	0.000593833	1.99526e-05	9.82844e-05	0.00256585	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00283948	0.000596489	2.0893e-05	0.000102929	0.00257867	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00285317	0.00059906	2.18776e-05	0.000107792	0.00259111	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00286645	0.000601547	2.29087e-05	0.000112885	0.00260317	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00287933	0.000603952	2.39883e-05	0.000118219	0.00261487	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00289181	0.000606276	2.51189e-05	0.000123803	0.0026262	10	0.001
0	10	100	5e-06	0.4	1e-05	0.0029039	0.00060852	2.63027e-05	0.000129652	0.00263718	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00291561	0.000610688	2.75423e-05	0.000135776	0.00264782	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00292695	0.00061278	2.88403e-05	0.000142189	0.00265811	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00293792	0.000614798	3.01995e-05	0.000148904	0.00266808	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00294855	0.000616744	3.16228e-05	0.000155937	0.00267773	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00295883	0.000618619	3.31131e-05	0.000163301	0.00268707	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00296878	0.000620427	3.46737e-05	0.000171013	0.0026961	10	0.001
0	10	100	5e-06	0.4	1e-05	0.0029784	0.000622167	3.63078e-05	0.000179088	0.00270485	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00298771	0.000623843	3.80189e-05	0.000187545	0.0027133	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00299672	0.000625455	3.98107e-05	0.0001964	0.00272148	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00300543	0.000627007	4.16869e-05	0.000205674	0.0027294	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00301386	0.000628498	4.36516e-05	0.000215385	0.00273705	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00302202	0.000629932	4.57088e-05	0.000225554	0.00274446	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00302991	0.00063131	4.7863e-05	0.000236203	0.00275163	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00303755	0.000632634	5.01187e-05	0.000247354	0.00275856	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00304494	0.000633904	5.24807e-05	0.000259032	0.00276528	10	0.001
0	10	100	5e-06	0.4	1e-05	0.0030521	0.000635124	5.49541e-05	0.000271261	0.00277178	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00305904	0.000636294	5.7544e-05	0.000284067	0.00277808	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00306576	0.000637416	6.0256e-05	0.000297478	0.00278418	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00307227	0.000638492	6.30957e-05	0.000311521	0.00279009	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00307859	0.000639523	6.60693e-05	0.000326228	0.00279583	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00308472	0.000640511	6.91831e-05	0.000341629	0.0028014	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00309067	0.000641456	7.24436e-05	0.000357757	0.0028068	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00309646	0.000642361	7.58578e-05	0.000374646	0.00281206	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00310208	0.000643227	7.94328e-05	0.000392333	0.00281716	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00310756	0.000644055	8.31764e-05	0.000410856	0.00282214	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00311289	0.000644846	8.70964e-05	0.000430253	0.00282698	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00311809	0.000645602	9.12011e-05	0.000450566	0.0028317	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00312317	0.000646324	9.54993e-05	0.000471839	0.00283631	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00312813	0.000647013	0.0001	0.000494117	0.00284082	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00313299	0.00064767	0.000104713	0.000517448	0.00284523	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00313775	0.000648295	0.000109648	0.000541881	0.00284955	10	0.001
0	10	100	5e-06	0.4	1e-05	0.00314242	0.000648892	0.000114815	0.000567469	0.00285379	10	0.001
