(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	400	5e-06	0.4	2.7e-06	0.00136339	0.00298387	0.0001	0.000494396	0.00125011	100	0.001
0	10	400	5e-06	0.4	2.82828e-06	0.00136339	0.00298387	0.0001	0.000494394	0.00125011	100	0.001
0	10	400	5e-06	0.4	2.96265e-06	0.00136338	0.00298387	0.0001	0.000494392	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.1034e-06	0.00136338	0.00298386	0.0001	0.00049439	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.25084e-06	0.00136338	0.00298386	0.0001	0.000494388	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.40529e-06	0.00136338	0.00298386	0.0001	0.000494385	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.56707e-06	0.00136338	0.00298386	0.0001	0.000494383	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.73654e-06	0.00136338	0.00298386	0.0001	0.00049438	0.00125011	100	0.001
0	10	400	5e-06	0.4	3.91406e-06	0.00136338	0.00298386	0.0001	0.000494377	0.00125011	100	0.001
0	10	400	5e-06	0.4	4.10001e-06	0.00136338	0.00298386	0.0001	0.000494374	0.00125011	100	0.001
0	10	400	5e-06	0.4	4.2948e-06	0.00136338	0.00298386	0.0001	0.000494371	0.00125011	100	0.001
0	10	400	5e-06	0.4	4.49885e-06	0.00136338	0.00298386	0.0001	0.000494368	0.00125011	100	0.001
0	10	400	5e-06	0.4	4.71258e-06	0.00136338	0.00298386	0.0001	0.000494365	0.00125011	100	0.001
0	10	400	5e-06	0.4	4.93648e-06	0.00136338	0.00298386	0.0001	0.000494362	0.00125011	100	0.001
0	10	400	5e-06	0.4	5.17101e-06	0.00136338	0.00298386	0.0001	0.000494358	0.00125011	100	0.001
0	10	400	5e-06	0.4	5.41668e-06	0.00136338	0.00298386	0.0001	0.000494354	0.0012501	100	0.001
0	10	400	5e-06	0.4	5.67402e-06	0.00136338	0.00298385	0.0001	0.00049435	0.0012501	100	0.001
0	10	400	5e-06	0.4	5.94359e-06	0.00136338	0.00298385	0.0001	0.000494346	0.0012501	100	0.001
0	10	400	5e-06	0.4	6.22597e-06	0.00136338	0.00298385	0.0001	0.000494342	0.0012501	100	0.001
0	10	400	5e-06	0.4	6.52176e-06	0.00136338	0.00298385	0.0001	0.000494337	0.0012501	100	0.001
0	10	400	5e-06	0.4	6.8316e-06	0.00136338	0.00298385	0.0001	0.000494332	0.0012501	100	0.001
0	10	400	5e-06	0.4	7.15617e-06	0.00136338	0.00298385	0.0001	0.000494327	0.0012501	100	0.001
0	10	400	5e-06	0.4	7.49615e-06	0.00136337	0.00298385	0.0001	0.000494322	0.0012501	100	0.001
0	10	400	5e-06	0.4	7.85229e-06	0.00136337	0.00298385	0.0001	0.000494317	0.0012501	100	0.001
0	10	400	5e-06	0.4	8.22535e-06	0.00136337	0.00298384	0.0001	0.000494311	0.0012501	100	0.001
0	10	400	5e-06	0.4	8.61613e-06	0.00136337	0.00298384	0.0001	0.000494305	0.0012501	100	0.001
0	10	400	5e-06	0.4	9.02548e-06	0.00136337	0.00298384	0.0001	0.000494299	0.0012501	100	0.001
0	10	400	5e-06	0.4	9.45427e-06	0.00136337	0.00298384	0.0001	0.000494292	0.0012501	100	0.001
0	10	400	5e-06	0.4	9.90344e-06	0.00136337	0.00298384	0.0001	0.000494285	0.0012501	100	0.001
0	10	400	5e-06	0.4	1.03739e-05	0.00136337	0.00298384	0.0001	0.000494278	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.08668e-05	0.00136337	0.00298383	0.0001	0.00049427	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.13831e-05	0.00136337	0.00298383	0.0001	0.000494262	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.19239e-05	0.00136336	0.00298383	0.0001	0.000494254	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.24904e-05	0.00136336	0.00298383	0.0001	0.000494245	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.30838e-05	0.00136336	0.00298382	0.0001	0.000494236	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.37054e-05	0.00136336	0.00298382	0.0001	0.000494227	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.43565e-05	0.00136336	0.00298382	0.0001	0.000494217	0.00125009	100	0.001
0	10	400	5e-06	0.4	1.50386e-05	0.00136336	0.00298382	0.0001	0.000494206	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.57531e-05	0.00136336	0.00298381	0.0001	0.000494195	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.65015e-05	0.00136335	0.00298381	0.0001	0.000494184	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.72855e-05	0.00136335	0.00298381	0.0001	0.000494172	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.81067e-05	0.00136335	0.0029838	0.0001	0.000494159	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.89669e-05	0.00136335	0.0029838	0.0001	0.000494146	0.00125008	100	0.001
0	10	400	5e-06	0.4	1.98681e-05	0.00136335	0.0029838	0.0001	0.000494132	0.00125007	100	0.001
0	10	400	5e-06	0.4	2.0812e-05	0.00136334	0.00298379	0.0001	0.000494117	0.00125007	100	0.001
0	10	400	5e-06	0.4	2.18007e-05	0.00136334	0.00298379	0.0001	0.000494102	0.00125007	100	0.001
0	10	400	5e-06	0.4	2.28365e-05	0.00136334	0.00298378	0.0001	0.000494086	0.00125007	100	0.001
0	10	400	5e-06	0.4	2.39214e-05	0.00136334	0.00298378	0.0001	0.000494069	0.00125007	100	0.001
0	10	400	5e-06	0.4	2.50579e-05	0.00136333	0.00298378	0.0001	0.000494052	0.00125006	100	0.001
0	10	400	5e-06	0.4	2.62484e-05	0.00136333	0.00298377	0.0001	0.000494034	0.00125006	100	0.001
0	10	400	5e-06	0.4	2.74955e-05	0.00136333	0.00298377	0.0001	0.000494014	0.00125006	100	0.001
0	10	400	5e-06	0.4	2.88017e-05	0.00136333	0.00298376	0.0001	0.000493994	0.00125006	100	0.001
0	10	400	5e-06	0.4	3.01701e-05	0.00136332	0.00298375	0.0001	0.000493973	0.00125005	100	0.001
0	10	400	5e-06	0.4	3.16035e-05	0.00136332	0.00298375	0.0001	0.000493951	0.00125005	100	0.001
0	10	400	5e-06	0.4	3.31049e-05	0.00136332	0.00298374	0.0001	0.000493928	0.00125005	100	0.001
0	10	400	5e-06	0.4	3.46777e-05	0.00136331	0.00298374	0.0001	0.000493904	0.00125004	100	0.001
0	10	400	5e-06	0.4	3.63252e-05	0.00136331	0.00298373	0.0001	0.000493879	0.00125004	100	0.001
0	10	400	5e-06	0.4	3.8051e-05	0.0013633	0.00298372	0.0001	0.000493852	0.00125004	100	0.001
0	10	400	5e-06	0.4	3.98588e-05	0.0013633	0.00298372	0.0001	0.000493824	0.00125003	100	0.001
0	10	400	5e-06	0.4	4.17525e-05	0.0013633	0.00298371	0.0001	0.000493795	0.00125003	100	0.001
0	10	400	5e-06	0.4	4.37361e-05	0.00136329	0.0029837	0.0001	0.000493765	0.00125002	100	0.001
0	10	400	5e-06	0.4	4.5814e-05	0.00136329	0.00298369	0.0001	0.000493733	0.00125002	100	0.001
0	10	400	5e-06	0.4	4.79906e-05	0.00136328	0.00298368	0.0001	0.000493699	0.00125002	100	0.001
0	10	400	5e-06	0.4	5.02706e-05	0.00136328	0.00298367	0.0001	0.000493664	0.00125001	100	0.001
0	10	400	5e-06	0.4	5.26589e-05	0.00136327	0.00298366	0.0001	0.000493627	0.00125001	100	0.001
0	10	400	5e-06	0.4	5.51607e-05	0.00136326	0.00298365	0.0001	0.000493589	0.00125	100	0.001
0	10	400	5e-06	0.4	5.77814e-05	0.00136326	0.00298364	0.0001	0.000493549	0.00124999	100	0.001
0	10	400	5e-06	0.4	6.05266e-05	0.00136325	0.00298363	0.0001	0.000493506	0.00124999	100	0.001
0	10	400	5e-06	0.4	6.34021e-05	0.00136325	0.00298362	0.0001	0.000493462	0.00124998	100	0.001
