(NADA).ET	(NNMT).ET	(NAMPT).ET	(NAMPT).Km	(NNMT).Km	Values[cell division rate]	[NAD]	(SIRT).Flux	(NAM import).v	[NAM]	[NMN]	(SIRT).ET	Values[scaling].InitialValue
0	10	100	0.0001	0.4	2.7e-06	0.000787666	0.00017702	1e-05	4.93681e-05	0.000715276	10	0.001
0	10	100	0.0001	0.4	2.82828e-06	0.000787655	0.000177018	1e-05	4.93671e-05	0.000715267	10	0.001
0	10	100	0.0001	0.4	2.96265e-06	0.000787644	0.000177016	1e-05	4.93661e-05	0.000715257	10	0.001
0	10	100	0.0001	0.4	3.1034e-06	0.000787633	0.000177013	1e-05	4.9365e-05	0.000715246	10	0.001
0	10	100	0.0001	0.4	3.25084e-06	0.000787621	0.00017701	1e-05	4.93639e-05	0.000715235	10	0.001
0	10	100	0.0001	0.4	3.40529e-06	0.000787608	0.000177008	1e-05	4.93627e-05	0.000715224	10	0.001
0	10	100	0.0001	0.4	3.56707e-06	0.000787595	0.000177005	1e-05	4.93615e-05	0.000715212	10	0.001
0	10	100	0.0001	0.4	3.73654e-06	0.000787581	0.000177002	1e-05	4.93602e-05	0.000715199	10	0.001
0	10	100	0.0001	0.4	3.91406e-06	0.000787567	0.000176999	1e-05	4.93588e-05	0.000715186	10	0.001
0	10	100	0.0001	0.4	4.10001e-06	0.000787552	0.000176995	1e-05	4.93574e-05	0.000715172	10	0.001
0	10	100	0.0001	0.4	4.2948e-06	0.000787536	0.000176992	1e-05	4.93559e-05	0.000715158	10	0.001
0	10	100	0.0001	0.4	4.49885e-06	0.000787519	0.000176988	1e-05	4.93543e-05	0.000715143	10	0.001
0	10	100	0.0001	0.4	4.71258e-06	0.000787502	0.000176984	1e-05	4.93527e-05	0.000715127	10	0.001
0	10	100	0.0001	0.4	4.93648e-06	0.000787483	0.00017698	1e-05	4.9351e-05	0.000715111	10	0.001
0	10	100	0.0001	0.4	5.17101e-06	0.000787464	0.000176976	1e-05	4.93492e-05	0.000715093	10	0.001
0	10	100	0.0001	0.4	5.41668e-06	0.000787444	0.000176972	1e-05	4.93473e-05	0.000715075	10	0.001
0	10	100	0.0001	0.4	5.67402e-06	0.000787423	0.000176967	1e-05	4.93453e-05	0.000715056	10	0.001
0	10	100	0.0001	0.4	5.94359e-06	0.000787401	0.000176963	1e-05	4.93432e-05	0.000715036	10	0.001
0	10	100	0.0001	0.4	6.22597e-06	0.000787378	0.000176958	1e-05	4.93411e-05	0.000715015	10	0.001
0	10	100	0.0001	0.4	6.52176e-06	0.000787354	0.000176952	1e-05	4.93388e-05	0.000714993	10	0.001
0	10	100	0.0001	0.4	6.8316e-06	0.000787329	0.000176947	1e-05	4.93364e-05	0.00071497	10	0.001
0	10	100	0.0001	0.4	7.15617e-06	0.000787303	0.000176941	1e-05	4.93339e-05	0.000714946	10	0.001
0	10	100	0.0001	0.4	7.49615e-06	0.000787275	0.000176935	1e-05	4.93313e-05	0.000714921	10	0.001
0	10	100	0.0001	0.4	7.85229e-06	0.000787246	0.000176929	1e-05	4.93286e-05	0.000714895	10	0.001
0	10	100	0.0001	0.4	8.22535e-06	0.000787216	0.000176922	1e-05	4.93258e-05	0.000714867	10	0.001
0	10	100	0.0001	0.4	8.61613e-06	0.000787184	0.000176915	1e-05	4.93228e-05	0.000714838	10	0.001
0	10	100	0.0001	0.4	9.02548e-06	0.00078715	0.000176908	1e-05	4.93196e-05	0.000714808	10	0.001
0	10	100	0.0001	0.4	9.45427e-06	0.000787115	0.0001769	1e-05	4.93163e-05	0.000714776	10	0.001
0	10	100	0.0001	0.4	9.90344e-06	0.000787079	0.000176892	1e-05	4.93129e-05	0.000714743	10	0.001
0	10	100	0.0001	0.4	1.03739e-05	0.000787041	0.000176884	1e-05	4.93093e-05	0.000714708	10	0.001
